Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,127/126,127/126 Count,127/126 Variability [%],128/126,128/126 Count,128/126 Variability [%],129/126,129/126 Count,129/126 Variability [%],130/126,130/126 Count,130/126 Variability [%],131/126,131/126 Count,131/126 Variability [%],Score A2,Coverage A2,# Peptides A2,# PSM A2,Score B2,Coverage B2,# Peptides B2,# PSM B2,Score C2,Coverage C2,# Peptides C2,# PSM C2,# AAs,MW [kDa],calc. pI
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",20.67,2,9,9,25,0.988,8;8;5,4.4,0.949,8;8;5,3.4,0.987,8;8;5,1.8,1.077,8;8;5,5.7,0.964,8;8;5,3.9,27.73,15.35,6,9,28.85,16.41,6,9,16.79,13.53,5,7,658,72.9,7.34
O00139,Isoform 2 of Kinesin-like protein KIF2A,44.39,8,26,26,101,0.667,23;23;18,5.8,0.609,23;23;18,7.5,0.86,23;23;18,3.1,0.781,23;23;18,2.9,0.842,23;23;18,0.6,96.25,35.3,19,33,104.97,38.64,21,37,98.15,33.64,20,31,660,75,6.4
O00142,Thymidine kinase,7.17,2,1,1,2,1.562,1;-;1,19.7,1.633,1;-;1,,1.377,1;-;1,21.6,1.437,1;-;1,3.4,1.073,1;-;1,,0,7.17,1,1,,,,,0,7.17,1,1,307,35.4,9.5
O00148,ATP-dependent RNA helicase DDX39,48.71,15,10,21,139,1.549,8;7;6,9.9,1.654,8;7;6,10.6,1.355,8;7;6,1.7,1.189,8;7;6,4.3,1.114,8;7;6,3.7,120.82,44.73,16,38,148.63,40.75,16,51,144.65,35.36,14,50,427,49.1,5.68
O00151,PDZ and LIM domain protein 1,78.42,1,25,25,333,0.726,72;76;88,4.7,0.591,72;76;88,9.3,0.78,72;76;88,7.8,0.919,72;76;88,5,0.787,72;76;88,4.6,298.96,74.77,23,98,334,78.42,23,111,336.85,74.16,22,124,329,36,7.02
O00154,Isoform 2 of Cytosolic acyl coenzyme A thioester hydrolase,21.14,6,4,4,7,0.989,2;2;1,18.2,0.922,2;2;1,24.8,1.014,2;2;1,8.1,1.028,2;2;1,28.7,1.023,2;2;1,20.7,5.98,13.01,2,2,10.26,16.26,3,4,3.83,8.13,1,1,246,27,6.99
O00159,Isoform 2 of Myosin-Ic,7.1,4,6,6,13,0.663,3;3;3,5.1,0.612,3;3;3,6.7,0.79,3;3;3,6.4,0.849,3;3;3,11.4,0.843,3;3;3,2.5,11.69,3.89,3,4,14.56,5.54,4,5,7.96,4.09,3,4,1028,117.9,9.44
O00160,Myosin-If,29.42,4,28,33,140,1.347,15;18;21,3,1.476,15;18;21,3.3,1.251,15;18;21,1.2,1.251,15;18;21,1.8,1.134,15;18;21,3,116.17,23.41,25,48,120.39,24.41,26,49,109.6,20.67,23,43,1098,124.8,9.11
O00161,Isoform SNAP-23a of Synaptosomal-associated protein 23,65.4,7,17,17,92,1.021,18;23;21,4.4,0.853,18;23;21,4.2,1.131,18;23;21,8.7,1.302,18;23;21,9.1,0.854,18;23;20,1.9,72.89,49.29,13,29,77.23,51.66,14,31,71.76,63.51,15,32,211,23.3,5.01
O00170,Aryl hydrocarbon receptor interacting protein,45.99,4,13,13,65,1.092,12;12;15,4.7,1.201,12;12;15,8.8,1.066,12;12;15,3,1.052,12;12;15,4.6,1.046,12;12;15,5.8,58.13,44.21,12,23,62.33,38.87,9,20,63.41,35.91,9,22,337,38.5,6.84
O00178,GTP-binding protein 1,18.68,2,9,9,22,1.041,4;3;2,28,1.033,4;3;2,5.7,1.045,4;3;2,5.5,1.082,4;3;2,22.3,0.979,4;3;2,6.4,25.98,14.95,7,9,22.3,10.46,6,7,18.22,8.82,5,6,669,72.4,8.34
O00186,Syntaxin-binding protein 3,17.4,1,8,8,42,0.707,6;7;9,4.3,0.644,6;7;9,6.4,0.73,6;7;9,11.7,0.809,6;7;9,7.2,0.872,6;7;9,1.2,30.29,11.32,5,11,37.53,17.4,8,17,36.78,17.4,8,14,592,67.7,7.8
O00187,Isoform 2 of Mannan-binding lectin serine protease 2,3.24,9,1,1,1,1.134,1;-;-,,1.15,1;-;-,,1.062,1;-;-,,0.893,1;-;-,,1.128,1;-;-,,1.95,3.24,1,1,,,,,,,,,185,20.6,5.96
O00193,Small acidic protein,37.16,2,7,7,73,2.286,18;16;21,33.5,2.768,18;16;21,43.3,1.849,18;16;21,44.9,2.065,18;16;21,34.4,0.999,18;16;21,2.3,72.9,37.16,7,27,53.66,37.16,7,20,63.49,33.88,6,26,183,20.3,4.72
O00194,Ras-related protein Rab-27B,50,3,10,11,116,0.576,23;22;22,4.2,0.507,23;22;22,5.2,0.816,23;22;22,1.6,0.752,23;22;22,7.5,0.767,23;22;22,2,86.66,36.7,8,34,96.5,50,11,41,104.19,38.99,9,41,218,24.6,5.52
O00203,Isoform 1 of AP-3 complex subunit beta-1,12.34,2,6,12,29,1.316,1;3;3,5.6,1.537,1;3;3,10.3,1.401,1;3;3,5.6,1.328,1;3;3,5.9,1.024,1;3;3,13.3,13.08,5.58,6,8,28.09,9.6,9,11,21.27,8.87,9,10,1094,121.2,6.04
O00203,"cDNA FLJ51426, highly similar to Adapter-related protein complex 3 beta-1 subunit",12.04,1,1,7,18,0.939,1;-;-,,0.878,1;-;-,,1.026,1;-;-,,0.805,1;-;-,,0.952,1;-;-,,5.54,3.72,3,4,16.86,9.03,5,7,13.29,10.62,6,7,565,63.7,8.28
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",21.43,2,4,4,19,1.078,4;4;4,9.1,0.891,4;4;4,8.8,0.846,4;4;4,14,0.956,4;4;4,4.2,0.994,4;4;4,0.2,15.47,15.71,3,5,22.18,21.43,4,8,16.07,21.43,4,6,210,23.7,6.34
O00231,Proteasome 26S non-ATPase subunit 11 variant (Fragment),47.28,2,17,18,81,0.937,19;15;15,4.4,0.951,19;15;15,5.4,0.939,19;15;15,1.9,0.97,19;15;15,7.9,1.013,19;15;15,1.2,52.26,44.21,15,26,80.23,39.01,14,30,56.94,35.93,12,25,423,47.5,6.48
O00232,26S proteasome non-ATPase regulatory subunit 12,36.18,5,12,13,55,0.818,9;9;10,1.4,0.767,9;9;10,5.3,0.867,9;9;10,3.6,0.797,9;9;10,2.5,0.981,9;9;10,3.7,46.05,28.73,11,18,45.21,25.66,10,19,42.99,25.66,10,18,456,52.9,7.65
O00233,Isoform p27-S of 26S proteasome non-ATPase regulatory subunit 9,51.67,7,9,9,53,1.01,10;9;12,0.7,1.056,10;9;12,7,1.037,10;9;12,2.3,0.93,10;9;12,3.1,0.941,10;9;12,6.4,45.32,41.63,8,19,39.23,51.67,9,15,43.67,41.63,8,19,209,22.7,5.59
O00244,Copper transport protein ATOX1,57.35,1,4,4,9,1.563,4;2;1,50.1,1.636,4;2;1,54.7,1.372,4;2;1,42.1,1.672,4;2;1,57.6,0.922,4;2;1,7.4,6.85,57.35,4,4,4.78,20.59,2,2,4.27,57.35,3,3,68,7.4,7.24
O00264,Membrane-associated progesterone receptor component 1,38.46,2,7,8,33,0.585,5;7;7,30,0.561,5;7;7,19.7,0.788,5;7;7,19.3,0.723,5;7;7,22.6,0.736,5;7;7,5.6,20.18,19.49,6,9,31.85,18.46,6,14,26.71,31.28,6,10,195,21.7,4.7
O00267,Isoform 2 of Transcription elongation factor SPT5,14.96,14,11,12,21,1.482,2;5;4,21.7,1.657,2;5;4,8.1,1.307,2;5;4,6.6,1.373,2;5;4,12.3,1.176,2;5;4,2.8,7.52,4.43,3,3,29.74,10.99,9,10,24.48,10.62,8,8,1083,120.4,5.1
O00273,Isoform DFF35 of DNA fragmentation factor subunit alpha (Fragment),36.57,2,6,6,20,1.132,5;3;4,15.3,1.21,5;3;4,9.2,1.08,5;3;4,7.8,0.969,5;3;4,11.8,1.033,5;3;4,1.6,27.97,36.57,6,8,14.82,24.25,5,6,19.98,30.22,5,6,268,29.4,4.61
O00294,Isoform 2 of Tubby-related protein 1,1.02,2,1,1,2,0.885,-;1;-,,1.999,-;1;-,,1.057,-;1;-,,1.154,-;1;-,,0.912,-;1;-,,,,,,0,1.02,1,2,,,,,489,54.6,9.45
O00299,Chloride intracellular channel protein 1,68.46,3,20,20,285,0.622,63;79;73,7.1,0.638,63;79;73,10.1,0.735,63;79;73,5.6,0.739,63;79;72,10.9,0.871,63;79;73,1.4,224.47,66.8,19,85,267.58,66.8,18,104,236.74,68.46,18,96,241,26.9,5.17
O00303,Eukaryotic translation initiation factor 3 subunit F,11.48,3,5,5,21,1.239,-;1;2,,1.218,-;1;2,8.8,1.129,-;1;2,4.2,1.091,-;1;2,,0.929,-;1;2,3.4,9.24,11.2,4,5,11.3,11.48,5,8,8.92,11.48,5,8,357,37.5,5.45
O00308,"cDNA, FLJ78996, highly similar to NEDD4-like E3 ubiquitin-protein ligase WWP2",4.1,3,1,2,2,,,,,,,,,,,,,,,,,,,,1.72,1.23,1,1,0,2.87,1,1,488,57.7,6.49
O00329,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta isoform",12.93,3,13,13,23,1.156,4;3;4,17.2,1.158,4;3;4,10.9,0.969,4;3;4,12.8,1.105,4;3;4,7.6,1,4;3;4,1.8,31.68,10.73,10,12,14.82,5.75,6,6,13.15,5.56,5,5,1044,119.4,7.18
O00391,Isoform 2 of Sulfhydryl oxidase 1,12.58,4,6,6,12,0.637,2;2;3,6.3,0.714,2;2;3,8.7,0.953,2;2;3,10.4,1.187,2;2;3,7.7,0.95,2;2;3,8,5.83,8.77,4,4,4.72,7.62,4,4,6.36,7.62,4,4,604,66.8,8.56
O00399,Dynactin subunit 6,30.53,2,5,5,12,0.856,-;4;4,,0.931,-;4;4,7.8,0.977,-;4;4,8.3,0.917,-;4;4,,0.913,-;4;4,4.4,3.01,12.63,2,2,10.8,26.32,4,4,16.86,25.26,4,6,190,20.7,6.32
O00410,Isoform 2 of Importin-5,15.14,9,13,13,51,0.831,11;11;12,8,0.824,11;11;12,5.9,0.916,11;11;12,6,0.856,11;11;12,11.7,0.914,11;11;12,2,38.66,12.05,10,16,53.21,9.84,10,17,49.58,9.06,8,18,1037,116.9,4.96
O00429,Isoform 1 of Dynamin-1-like protein,45.24,9,1,33,296,2.04,-;1;-,,2.178,-;1;-,,3.169,-;1;-,,3.082,-;1;-,,1.033,-;1;-,,300.49,37.09,26,102,291.17,39.67,26,103,255.57,29.89,23,91,736,81.8,6.81
O00429,Isoform 2 of Dynamin-1-like protein,44.79,7,1,33,297,,,,,,,,,,,,,,,,300.49,39.58,27,103,287.17,39.01,26,103,255.57,30.99,23,91,710,79.4,6.93
O00429,Isoform 3 of Dynamin-1-like protein,44.49,6,1,32,293,1.311,1;-;-,,1.253,1;-;-,,1.516,1;-;-,,1.479,1;-;-,,1.028,1;-;-,,302.52,39.2,26,102,278.88,35.34,24,100,255.57,31.47,23,91,699,78.1,6.81
O00442,Isoform 1 of RNA 3'-terminal phosphate cyclase,14.48,3,3,3,5,0.819,1;-;-,,0.916,1;-;-,,0.937,1;-;-,,0.861,1;-;-,,0.869,1;-;-,,8.68,14.48,3,4,,,,,2.94,4.37,1,1,366,39.3,7.85
O00453,Isoform 6 of Leukocyte-specific transcript 1 protein,47.06,10,2,2,3,0.904,-;-;1,,1.024,-;-;1,,1.031,-;-;1,,0.941,-;-;1,,1.043,-;-;1,,,,,,3.43,23.53,1,1,2.83,23.53,1,2,51,5.9,9.45
O00478,butyrophilin subfamily 3 member A3 isoform b,22.24,15,5,11,18,1.163,1;1;1,9.6,1.253,1;1;1,16.1,1.17,1;1;1,7.4,1.069,1;1;1,10.4,1.017,1;1;1,5.1,16.45,11.4,5,6,20.82,12.71,7,8,10.38,9.91,4,4,535,59.6,5.4
O00479,High mobility group nucleosome-binding domain-containing protein 4,75.56,1,11,15,201,2.056,42;47;38,2.5,2.168,42;47;38,2.9,1.616,42;47;38,6.1,1.831,42;47;38,3.9,1.073,41;46;37,1.6,163.24,74.44,13,65,178.91,55.56,11,73,158.3,58.89,13,63,90,9.5,10.48
O00481,butyrophilin subfamily 3 member A1 isoform c,17.35,11,2,8,13,0.721,-;-;1,,0.707,-;-;1,,0.925,-;-;1,,0.781,-;-;1,,0.953,-;-;1,,10.73,7.81,3,4,10.46,8.68,4,4,10.09,11.71,5,5,461,52,8.37
O00483,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4,55.56,2,6,6,69,0.872,17;20;17,2.1,0.833,17;20;17,4.6,0.888,17;20;17,1,0.753,17;20;17,2.6,0.964,17;20;17,2.1,50.01,40.74,5,22,58.77,55.56,5,26,47.44,40.74,4,21,81,9.4,9.38
O00487,26S proteasome non-ATPase regulatory subunit 14,38.39,3,10,10,42,1.08,9;13;8,1.6,1.159,9;13;8,3.8,1.133,9;13;8,3.8,1.088,9;13;8,7,0.966,9;13;8,1.6,33.87,34.19,8,13,48.31,26.45,7,16,41.21,29.35,6,13,310,34.6,6.52
O00499,Isoform BIN1-10-13 of Myc box-dependent-interacting protein 1,56.72,14,19,21,91,1.342,16;22;25,5.5,1.261,16;22;25,5.2,1.143,16;22;25,9.2,1.17,16;22;25,1.9,1.152,16;22;25,3.3,65.19,42.79,15,30,75.67,46.21,17,30,87.54,49.88,18,31,409,45.5,5.49
O00505,Importin subunit alpha-3,12.28,2,2,6,10,0.599,-;1;1,,0.525,-;1;1,45.1,0.579,-;1;1,30.1,0.642,-;1;1,,1.065,-;1;1,12.9,5.06,3.07,2,2,7.67,6.53,3,3,8.18,7.1,4,5,521,57.8,4.94
O00506,Serine/threonine-protein kinase 25,19.72,13,1,6,27,1.097,1;-;-,,1.31,1;-;-,,1.137,1;-;-,,1.15,1;-;-,,1.077,1;-;-,,33.24,19.72,6,10,19.55,12.44,5,9,21.91,12.44,5,8,426,48.1,6.74
O00522,Isoform 2 of Krev interaction trapped protein 1,1.32,4,1,1,2,0.603,1;-;1,17.6,0.658,1;-;1,,0.739,1;-;1,13.5,0.673,1;-;1,20,0.846,1;-;1,,2.53,1.32,1,1,,,,,2.49,1.32,1,1,529,60.9,7.9
O00534,Isoform 1 of von Willebrand factor A domain-containing protein 5A,12.85,5,9,9,17,0.698,3;-;3,38.8,0.654,3;-;3,,0.808,3;-;3,30.2,0.933,3;-;3,17.7,0.887,3;-;3,,16.51,9.16,7,7,13.96,5.34,4,5,11.47,4.71,3,5,786,86.4,6.58
O00567,Nucleolar protein 56,35.35,7,21,21,106,1.429,24;21;20,6.5,1.443,24;21;20,5.3,1.228,24;21;20,2.3,1.283,24;21;20,6.4,1.132,24;21;20,2.2,98.82,31.65,17,40,95.95,26.43,16,36,78,25.76,14,30,594,66,9.19
O00571,ATP-dependent RNA helicase DDX3X,33.84,11,4,19,118,1.348,2;3;2,22.7,1.42,2;3;2,24.4,1.319,2;3;2,17.1,1.19,2;3;2,36.3,0.994,2;3;2,1.3,130.57,31.72,18,43,118.87,28.55,17,40,108.69,20.85,13,35,662,73.2,7.18
O00602,Ficolin-1,32.82,6,12,12,70,1.112,17;15;16,4.2,1.042,17;15;16,7.9,1.04,17;15;16,2.6,1,17;15;16,2.7,1.366,17;15;16,3.6,67.93,25.46,9,24,60.36,29.14,9,22,63.8,28.22,10,24,326,35.1,6.86
O00629,Importin subunit alpha-4,23.42,2,5,9,23,0.514,2;3;3,0.6,0.407,2;3;3,6.5,0.515,2;3;3,10,0.454,2;3;3,12.2,0.924,2;3;3,5.9,21.14,16.89,6,7,23.89,17.66,6,7,19.34,15.55,6,9,521,57.9,4.96
O00743,Isoform 1 of Serine/threonine-protein phosphatase 6 catalytic subunit,35.74,4,10,10,40,0.915,9;8;8,7.5,0.923,9;8;8,12,0.888,9;8;8,6.2,0.977,9;8;8,5.6,0.953,9;8;8,3,31.7,21.31,5,12,29.05,35.41,9,17,22.28,24.26,6,11,305,35.1,5.69
O00764,Isoform 2 of Pyridoxal kinase,26.76,5,5,5,32,1.252,7;3;3,14.9,1.3,7;3;3,23.5,1.148,7;3;3,18.6,1.107,7;3;3,20.1,1.066,7;3;3,5.7,46.78,26.76,5,15,22.75,26.76,5,9,18.49,26.76,5,8,284,31.8,5.95
O14497,Isoform 1 of AT-rich interactive domain-containing protein 1A,4.77,5,8,8,9,1.11,3;1;1,16.8,1.095,3;1;1,32.2,0.991,3;1;1,14.2,1.061,3;1;1,18.9,1.113,3;1;1,3.5,15.12,2.84,4,5,2.94,1.09,2,2,4.32,1.49,2,2,2285,241.9,6.7
O14519,10 kDa protein,9.2,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,2.77,9.2,1,1,87,9.6,9.19
O14523,Isoform 1 of C2 domain-containing protein 2-like,3.97,2,2,2,3,0.646,1;-;-,,0.665,1;-;-,,0.812,1;-;-,,0.724,1;-;-,,0.855,1;-;-,,5.94,3.97,2,3,,,,,,,,,706,76.1,7.69
O14526,Isoform 1 of FCH domain only protein 1,1.8,2,2,2,4,0.913,1;1;1,12.2,0.876,1;1;1,12.8,0.983,1;1;1,13.6,0.854,1;1;1,8.1,1.145,1;1;1,6.3,1.81,0.79,1,1,2.56,0.79,1,1,4.61,1.8,2,2,889,96.8,6.96
O14548,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",34.21,3,4,4,18,0.936,5;3;2,4.6,0.826,5;3;2,7.6,0.887,5;3;2,1.5,0.837,5;3;2,15.3,0.944,5;3;2,4.1,18.47,34.21,4,6,15.44,27.19,3,5,16.34,26.32,3,7,114,12.6,9.42
O14561,"Acyl carrier protein, mitochondrial",17.95,1,4,4,26,1.659,6;7;8,36.9,1.436,6;7;8,35.4,1.239,6;7;8,20,1.719,6;7;8,38.1,1.086,6;7;8,2.9,14.04,12.18,3,7,18.45,17.95,4,10,16.49,17.95,4,9,156,17.4,4.93
O14579,Coatomer subunit epsilon,37.34,3,14,14,61,1.148,10;12;7,21.5,1.024,10;12;7,21.4,1.179,10;12;7,11.8,1.039,10;12;7,19.7,0.993,10;12;7,6.8,56.95,37.34,13,20,66.56,27.92,10,20,56.32,32.47,10,21,308,34.5,5.12
