Compound,Number Passed,042111_08_01(raw),042111_08_02(raw),042111_08_03(raw),042111_09_01(raw),042111_09_02(raw),042111_09_03(raw),042111_10_01(raw),042111_10_02(raw),042111_10_03(raw),042111_11_01(raw),042111_11_02(raw),042111_11_03(raw),042111_12_01(raw),042111_12_02(raw),042111_12_03(raw),042111_13_01(raw),042111_13_02(raw),042111_13_03(raw),042111_14_01(raw),042111_14_02(raw),042111_14_03(raw),042111_15_01(raw),042111_15_02(raw),042111_15_03(raw),042111_16_01(raw),042111_16_02(raw),042111_16_03(raw),042111_17_01(raw),042111_17_02(raw),042111_17_03(raw),042111_19_01(raw),042111_19_02(raw),042111_19_03(raw),042111_20_01(raw),042111_20_02(raw),042111_20_03(raw),Annotations,Mass,Retention Time,CAS Number
1278.0948@0.3672727,1,16685,19053,14589,16523,17654,15172,17808,16194,17185,1,10217,9158,13817,14651,12890,12885,15752,15604,17234,14799,15453,16210,15875,13132,13292,16300,14213,9033,10191,1,1,11459,9542,15868,16577,17609,,1278.0948,0.3672727,
436.0787@0.36760005,1,44845,40934,34783,36281,35465,34230,34768,35747,34116,28171,26012,25571,31588,29018,31363,37579,34924,35224,35194,31475,32399,33918,31987,31373,33172,33408,28296,23771,27656,1,28031,26066,26023,37375,31959,34315,,436.0787,0.36760005,
340.0591@0.3675589,1,48637,42935,36152,51605,49438,42831,42927,43637,40975,38335,35731,38756,36503,1,34500,39049,40388,38153,40934,31623,31308,40667,40849,36152,41166,43781,35876,31625,31148,28372,27343,1,23649,34616,37371,36211,,340.0591,0.3675589,
600.0828@0.36788896,1,75441,73585,59583,63699,66937,59893,62345,60361,60697,49067,41674,45120,52518,52233,52228,61542,60547,59496,62000,56180,58973,57818,52035,52434,55451,57815,59015,38466,43662,41495,46851,44028,47163,63480,55652,59784,,600.0828,0.36788896,
586.0686@0.36716667,1,32506,30615,24659,32405,32778,31112,30153,28087,27430,25699,28276,26299,23564,27323,23393,24803,25153,26517,26488,22381,24176,28848,26977,26659,28030,29478,27078,19277,21339,19334,18541,16718,20777,23439,23287,25488,,586.0686,0.36716667,
504.0638@0.3671143,1,31594,30305,24750,26798,30779,26347,26951,27347,25999,24710,22802,24365,23251,19687,21215,22040,22493,21772,23138,20677,20621,25512,22111,24223,24029,25397,23390,17549,18229,17763,16898,1,14942,24800,21831,21079,,504.0638,0.3671143,
682.0872@0.36725715,1,27867,28592,23276,25642,24789,22410,25370,25729,25295,19121,16480,18461,20649,20137,19816,24603,24912,24425,26020,24251,24259,24142,20707,20731,22572,23184,20611,16254,18492,1,18873,18574,18581,24417,22124,22750,,682.0872,0.36725715,
518.081@0.36761123,1,71526,73664,60078,61696,64186,56840,66781,63942,60359,45698,44854,43841,52244,49819,50054,60630,57525,64543,68780,57518,56965,61326,52805,53277,57420,60516,57761,41543,46043,38592,46598,45675,53521,66701,55517,62854,,518.081,0.36761123,
168.0872@0.36461288,1,136582,46192,109591,1,99986,99199,122797,108398,49530,84183,73582,76425,84217,90898,102602,1,101125,113182,105169,103171,99648,101913,46652,1,109103,1,45347,71717,74544,69697,41096,35953,31988,1,39989,118726,,168.0872,0.36461288,
N-Desmethylketazolam,1,132173,125882,99394,116186,111324,100020,110947,109602,106124,82481,75188,74691,86019,88734,92222,114801,102053,108527,111780,100284,104845,104236,99389,101087,102704,102939,1,72865,72401,69988,83131,81678,79147,102388,105099,108339,"N-Desmethylketazolam [ C19 H15 Cl N2 O3, db=61.05, overall=30.52, KEGG ID=, CAS ID=26945-40-4 ]",354.0757,0.36960006,26945-40-4
764.0883@0.36781484,1,14954,13860,11806,13244,12671,12863,12237,13483,12651,1,1,8784,10054,1,1,13129,11700,12748,14664,13923,10741,1,1,11248,10025,10733,11042,1,1,9251,10196,9168,1,13118,11438,12966,,764.0883,0.36781484,
1442.1014@0.36745453,1,19811,21508,17888,18038,18086,14606,18664,19586,20170,16410,14201,17978,14508,16108,13570,1,17348,20275,19077,17353,18776,15264,15476,17130,17378,19144,18562,1,14342,16209,1,14184,14746,19910,16971,18150,,1442.1014,0.36745453,
1110.0033@0.36859375,1,58575,33647,56234,56572,50229,52010,58559,57494,52418,57878,55278,54654,56563,55331,1,35709,52043,52457,58529,1,53994,53361,47651,52282,49339,51050,49549,52028,1,54294,56612,1,52301,58615,51891,53831,,1110.0033,0.36859375,
185.9878@0.37075,1,3104572,3325779,3292851,3100028,3174991,3198537,3328652,3370379,3027786,3295516,3232729,3272557,3097872,3191233,3173061,3350380,3208901,3235266,3090283,3239665,3242735,2911477,3235047,3272458,3296780,3285015,3166131,3182770,3322174,3264796,3244337,2964387,3232421,3081719,3295470,3284492,,185.9878,0.37075,
103.9855@0.37086117,1,1496870,1481828,1226488,1238240,1208249,1187813,1217835,1461007,1231703,1167233,1452967,1092101,1430936,1186870,1328688,1251085,1171960,1370092,1480726,1183619,1119735,1482946,1471122,1469063,1475754,1214580,1351609,1467585,1504331,1191025,1198580,1388556,1449333,1302184,1183549,1217682,,103.9855,0.37086117,
Spiramycin 1,1,60305,59409,57920,59627,59486,58880,1,58753,56362,1,63370,58377,64917,57653,57818,61657,57205,56589,58282,56834,58456,54208,53301,57904,56108,53955,55610,1,59188,58517,58820,62810,58240,58979,56254,53934,"Spiramycin 1 [ C43 H74 N2 O14, db=50.52, overall=25.26, KEGG ID=C01754, CAS ID=24916-50-5 ]",842.5152,0.37236363,24916-50-5
1274.0109@0.37162504,1,195649,195127,182082,180672,181239,172819,1,186882,176808,193600,184800,180972,197366,175302,1,197250,174306,179019,188359,1,182635,185440,172878,178484,168770,177616,172652,184237,185579,181958,181575,1,179293,192995,180341,176927,,1274.0109,0.37162504,
2094.0337@0.37128574,1,86078,89696,80737,81479,81293,80585,88453,79216,83145,84863,81545,84247,83121,81832,82901,89713,82653,80558,86553,85113,85270,81997,76771,86030,82035,80538,83146,82019,84158,82956,81669,1,84762,87636,80453,81332,,2094.0337,0.37128574,
2504.0469@0.37122574,1,40642,37554,35602,38395,38015,42302,38518,1,35134,41325,36645,37963,38815,1,37562,39354,33117,39695,42240,36470,39984,37140,32389,37709,33207,38944,37284,37548,1,43687,39245,1,35548,1,37923,38065,,2504.0469,0.37122574,
2176.057@0.37145713,1,127349,121412,122502,118176,119345,113018,125694,117467,111840,127445,120576,113632,124551,120543,116525,125943,116773,116733,112795,113257,124331,108885,104511,106969,113442,117707,112211,117188,121210,117519,108493,1,118614,126895,110367,118546,,2176.057,0.37145713,
1848.0302@0.37174284,1,326181,302698,308510,305482,300900,307581,325770,306614,303215,310952,305977,298877,319803,286017,307483,316245,294405,307899,313013,297447,306161,301351,282480,293305,294421,291770,282636,298104,301860,304737,296563,1,304960,314498,291855,277781,,1848.0302,0.37174284,
GPCho(14:0/14:0[U]),1,53823,50414,51171,1,44755,46032,50107,49120,44726,49790,48211,47582,50232,49880,1,51920,46660,48686,50082,1,48744,48779,46246,46844,48223,48863,48715,45344,49219,48739,49813,1,45301,48472,44759,47505,"GPCho(14:0/14:0[U]) [ C36 H73 N O8 P, db=51.87, overall=25.93, Lipid ID=LMGP01010478, KEGG ID= ]",678.5085,0.37215626,
678.0101@0.37240005,1,1054870,1040175,1040083,1031672,1020404,1018601,1062108,1057708,1031143,1045109,1021053,1031569,1062977,991421,1,1037732,990686,1033003,1054655,1014880,1029724,996700,972525,1014422,1007489,1018433,982917,991642,1041317,1029479,1001729,1054162,1020894,1068915,1013032,1021655,,678.0101,0.37240005,
760.0074@0.3722353,1,659823,656992,664925,659628,646087,647187,686943,671727,645441,679872,651801,654949,687898,643073,651037,675523,632899,654770,672668,1,651807,630330,614158,646967,654748,648439,625392,640002,666683,649244,640695,1,650868,690986,645438,650953,,760.0074,0.3722353,
349.9932@0.3725278,1,2375499,2220392,2110351,2254272,2183539,2038347,2343523,2212773,2127450,2253604,2177146,2084433,2245156,2030034,2097147,2298191,2051361,2087419,2277308,2112536,2109500,2198743,2050106,2074058,2194829,2155090,2033591,2173656,2113941,2092356,2213311,2129869,2079557,2238428,2079501,2090239,,349.9932,0.3725278,
2012.0356@0.37163636,1,260079,255454,256167,252083,247802,249803,261900,254614,246600,255412,249205,248555,261669,236421,247222,248911,239604,254013,257507,1,247761,239718,220068,241715,241269,248120,242348,240625,253295,249778,242268,1,1,256820,242514,243213,,2012.0356,0.37163636,
760.5129@0.37200004,1,56701,52125,56673,1,1,50630,60043,57671,50847,56899,54405,55579,55004,54607,1,58692,55539,52810,56483,53057,54769,56584,53532,50679,53321,57217,54521,54774,52155,50947,53407,1,51083,58591,56441,55878,,760.5129,0.37200004,
1930.0293@0.37155885,1,123596,124525,125594,131948,122769,123499,134374,127582,117524,130439,127219,125708,129405,111665,123003,125624,116566,121911,128408,1,121180,129134,112282,119678,118321,119703,111531,119638,129296,123979,120257,1,126180,132482,122296,136931,,1930.0293,0.37155885,
1766.0236@0.37175757,1,180797,164869,164927,159085,158809,162902,167460,169688,161879,168076,159865,168750,174768,156998,1,166025,159564,163125,169891,1,164686,154173,147553,161955,156597,160332,151806,159443,167353,164930,158786,1,159195,169667,156977,159539,,1766.0236,0.37175757,
1438.0165@0.37166667,1,226892,223044,221423,219784,212450,206523,225315,213651,204934,224509,215102,215574,225174,205892,206903,222708,201772,205680,219399,1,213833,210914,198285,208541,211018,206686,194640,216384,1,214720,214032,1,208449,228767,204177,203265,,1438.0165,0.37166667,
1602.032@0.37169698,1,212939,212816,215264,218045,201166,207082,221110,217312,207273,214352,205951,207253,223217,198242,1,219429,207791,210883,209259,1,207516,197551,192606,205569,204591,209096,201527,200977,210499,207589,203837,1,200248,210529,210521,207485,,1602.032,0.37169698,
2258.056@0.37132356,1,50038,51549,51443,52417,51043,45457,54045,51442,48450,54941,54809,52809,55963,50291,54126,51443,1,45704,56945,50070,52470,48231,43818,52236,51135,48223,45467,46836,50905,53980,50485,1,56759,51649,48864,52769,,2258.056,0.37132356,
2340.0415@0.3715,1,70532,66414,65646,75730,64385,72117,73933,73211,69263,1,71047,66450,69274,62919,73557,67744,59062,65302,72416,1,70959,63025,60741,63890,72299,66642,61993,68890,1,72211,70512,1,68113,70396,61579,73559,,2340.0415,0.3715,
1617.9949@0.37353334,1,51443,51688,54863,57307,55015,56518,59989,1,52962,58399,55099,53626,55485,48668,1,48542,1,48161,51433,1,48336,47036,50517,52836,55327,47765,53373,56286,1,55841,55965,1,55635,56974,49524,55029,,1617.9949,0.37353334,
842.0098@0.37212902,1,499799,501826,491054,486647,481943,495563,1,496967,479760,1,480662,483814,507976,458966,480511,483473,471571,491744,497583,1,494865,464215,466752,475320,485294,488487,470304,1,498738,493409,480022,1,485345,503429,486256,480423,,842.0098,0.37212902,
596.003@0.3728823,1,1618272,1608993,1586173,1605304,1562396,1604244,1617118,1617345,1588995,1612915,1594777,1578653,1626080,1547520,1,1597235,1549359,1589110,1616767,1,1583809,1520280,1517718,1576295,1562677,1599552,1530560,1520464,1610510,1630174,1536577,1615317,1581130,1652293,1586425,1570904,,596.003,0.3728823,
431.9965@0.37666664,1,3076072,3018125,2989309,3040808,2958830,2956660,3104805,3070997,2991589,3028607,2929374,2983586,3047782,2864611,2922628,3028735,2921310,2972367,3027753,45129,2949073,51213,2860039,2936821,2929916,2969179,2891944,2881476,3034471,2909212,2923879,3050142,2925514,3087627,2981648,2913002,,431.9965,0.37666664,
1781.9979@0.37309682,1,45208,40690,40308,46794,40517,45034,1,43154,45656,48928,45248,39984,43643,39554,1,47422,39665,38421,1,1,42604,41745,40551,39898,42771,43435,39788,42443,43130,42190,46083,1,42136,48385,35495,38579,,1781.9979,0.37309682,
514.0034@0.37308568,1,3231781,3139391,3117469,3196029,3050465,3038309,3236413,3211503,3081480,3192944,3086369,3074875,3215440,2928085,1,3181156,3035306,3078879,3126281,3008774,3044984,2978412,2935416,3036563,3010295,3081059,2987598,3003248,3100408,3088888,3064138,3145314,3064897,3225210,3079693,3084178,,514.0034,0.37308568,
267.9908@0.3730278,1,6108873,5927775,5890715,5971651,5814531,5662755,6168730,5945274,5715545,6039025,5842348,5771033,6042767,5596437,5665379,6065565,5676642,5715829,6086748,5845620,5827175,5841378,5597318,5684328,5822924,5815338,5468636,5815576,5827176,5722141,5909047,5829253,5676849,6106289,5859398,5832425,,267.9908,0.3730278,
2110.02@0.37291667,1,23153,20670,24134,23178,23040,25425,28175,1,1,1,30286,26359,26715,23554,1,23429,1,23681,1,1,21007,22825,21661,22579,20234,22180,23515,18225,1,1,25570,1,1,25559,25080,1,,2110.02,0.37291667,
1535.9908@0.37340006,1,44336,44946,39390,44601,43136,48940,1,52254,45805,49688,44087,46281,45449,44943,1,46198,43059,42919,44913,1,40856,41396,44786,42324,48464,46347,48630,35372,1,45201,52660,1,49326,46592,1,42600,,1535.9908,0.37340006,
1371.9957@0.3735173,1,37446,37880,41020,40408,40663,36667,46635,44203,1,40964,41282,41378,44170,38118,1,42344,1,37726,35830,1,36547,39976,35225,38210,43901,39710,37493,1,1,42614,45192,1,42721,43643,38546,40036,,1371.9957,0.3735173,
1864.011@0.3730323,1,35856,34627,37501,35785,36212,38907,37691,35483,38214,40404,37930,36171,42267,38674,1,36647,32780,35357,34451,1,36460,32716,41162,37204,38736,39801,35882,35595,1,37153,41603,1,1,37955,34409,33848,,1864.011,0.3730323,
1699.9985@0.3731875,1,42675,45025,43306,51149,43360,43861,49323,44486,48363,47412,46445,46207,44241,40385,1,45434,41922,40333,46039,38804,41751,39998,42590,40598,45662,44232,46547,41983,1,46678,48815,1,46829,48858,1,44642,,1699.9985,0.3731875,
1946.0074@0.37290323,1,31415,31375,34860,35539,31860,35958,35943,32165,37446,37405,34037,35442,34343,31545,34623,35099,1,32947,36015,1,31536,29422,31306,33848,29638,38440,34637,1,1,33810,34977,1,36097,34309,35662,36873,,1946.0074,0.37290323,
2028.023@0.37268,1,31053,24440,26844,28420,29795,29458,29247,29174,1,28268,1,28762,28722,1,30403,26023,1,25224,27242,1,1,23081,25489,29977,29638,27047,1,1,1,1,28142,1,26125,27375,24932,27792,,2028.023,0.37268,
365.97@0.37485716,1,139754,138949,139238,149168,149432,152193,150498,151263,153306,148468,141870,150576,143871,141584,1,138999,138380,134254,140887,134417,129975,130269,144797,143425,149405,152742,150631,142761,141943,142380,153397,158074,149963,152572,143544,137598,,365.97,0.37485716,
1453.9904@0.3735,1,46594,43187,47189,49966,47310,47746,47805,46390,52560,48093,48758,43905,45438,43420,1,47283,1,41253,43129,1,40403,41285,44049,42388,50651,45429,46949,43049,1,50574,50500,1,49904,47137,1,43603,,1453.9904,0.3735,
1207.9905@0.37368754,1,24657,22435,22638,24331,24314,23109,23715,26306,1,23690,23843,23507,18424,22079,22738,21393,20104,21545,23453,1,20834,21489,19484,18833,23904,26025,20723,26271,1,23306,28705,1,24764,23030,21727,23683,,1207.9905,0.37368754,
447.9728@0.37527272,1,225502,229922,229754,242284,237743,240539,240782,241817,235378,238200,235951,236263,232210,220790,1,218763,213726,218822,216921,1,206340,213011,228627,224663,239881,245523,236993,225458,231110,227537,242628,1,241025,244499,226143,227583,,447.9728,0.37527272,
1289.9849@0.37362495,1,35557,29994,34468,34267,34257,33213,41561,36771,37988,37562,36708,38675,35208,31365,1,32540,30360,31849,34437,1,32589,29818,31952,34440,36694,35768,36644,35907,1,37680,39177,1,36620,35390,36767,34230,,1289.9849,0.37362495,
529.9721@0.37509674,1,224993,220891,223843,238777,227738,246161,250045,238002,235114,240197,235956,230468,229889,1,1,223600,214505,214748,214793,1,208752,217933,222772,223267,228491,240348,229769,223005,1,230108,248019,1,241706,241765,219671,229869,,529.9721,0.37509674,
283.9663@0.37641668,1,291598,304503,313488,319900,310467,316268,336310,329891,326110,329164,303154,321325,295273,297650,305895,302554,292151,290379,305223,285783,286432,295280,311727,299024,321967,320958,313116,311384,324511,305095,351333,340990,332463,583231,311181,297363,,283.9663,0.37641668,
693.9824@0.3773871,1,96205,92478,94844,103414,102077,99427,1,105118,102849,108298,96257,99661,101627,93586,1,96409,96290,98990,99606,1,86698,89272,101394,92185,98684,98368,101873,1,97792,96763,102717,1,105905,103760,95324,93610,,693.9824,0.3773871,
775.9853@0.37764287,1,64070,66515,68499,77869,64303,69705,1,70375,65068,69441,67023,68284,69216,59259,1,65131,60689,64636,62004,1,60062,1,66615,63986,69711,67712,66489,1,1,66506,73336,1,69230,71407,67822,1,,775.9853,0.37764287,
611.9799@0.37734482,1,140049,136594,136573,147826,137629,143189,1,1,142392,143357,135327,142032,142948,1,1,132469,123601,134258,129921,1,130794,124195,131493,139370,144799,146860,141055,1,137675,137029,145461,1,149484,147336,138485,137678,,611.9799,0.37734482,
857.9875@0.3774839,1,51378,47101,46788,57367,48070,48123,51146,1,51565,54442,46516,50859,51112,46749,1,48845,45186,48524,49845,1,44128,47461,47274,48977,47616,48948,50722,1,50745,47906,53325,1,52537,51648,47880,48925,,857.9875,0.3774839,
1413.9979@0.38107693,1,46789,43605,1,46601,43782,48433,1,45190,46078,53761,1,43893,1,49104,1,1,44336,53641,49922,47331,44702,48718,1,1,47380,49972,1,49258,50083,48825,46959,51060,53415,48287,1,43299,,1413.9979,0.38107693,
1331.9816@0.38222224,1,51755,46713,1,49945,45316,45720,1,45970,45632,51115,47108,43459,47167,42743,1,48316,42727,45338,49421,45756,45023,44737,1,1,45364,44584,1,1,47730,43488,44207,47493,44525,1,1,39939,,1331.9816,0.38222224,
1495.995@0.38175866,1,43543,41592,1,47844,1,44837,1,46801,41562,48080,45790,48841,47461,46164,1,51314,48367,45030,50297,46756,46517,48008,1,45195,45125,45041,1,43139,48135,48333,48857,46156,45588,45066,1,43297,,1495.995,0.38175866,
1249.9858@0.38258335,1,44521,47315,1,42018,50129,38468,1,1,46580,1,49060,44028,1,43002,1,45972,43430,52154,45821,48107,41974,50518,1,1,45416,45567,45617,1,1,43983,47381,42116,45442,1,48647,1,,1249.9858,0.38258335,
1167.9846@0.38393104,1,38686,36238,34871,1,33572,37633,28848,1,35877,39206,1,35191,40643,36399,1,35671,37227,35206,39713,1,35114,34184,1,36409,41282,1,31926,41427,37802,33913,36213,37951,36676,37635,37572,34517,,1167.9846,0.38393104,
571.9606@0.3881667,1,215070,1,215809,1,1,188315,1,1,195162,1,196540,203264,206473,190955,181643,200476,202783,192393,213976,199534,192874,203409,193325,209932,199788,195314,196777,217224,190836,192381,202190,208853,194807,215915,204764,198251,,571.9606,0.3881667,
489.9575@0.38891178,1,310524,291818,304946,278067,275500,283028,1,285375,290479,1,285463,278901,286811,277210,273686,286949,279128,286300,272884,294975,284667,278430,286173,289614,287748,286114,273769,292926,285686,276569,288046,294278,282537,295516,299105,294958,,489.9575,0.38891178,
407.9539@0.38981822,1,356182,328581,354988,322157,328333,325850,353392,339789,343476,1,335813,333896,339110,328070,326708,1,326029,325466,340500,353611,343963,1,340466,328775,342157,342513,326887,352481,337139,342839,337926,340496,333549,349948,351708,347454,,407.9539,0.38981822,
325.9501@0.3924723,1,256562,242780,248156,233289,220340,215789,255658,243096,245897,249438,240528,232794,237234,231859,235859,250264,233381,236927,264820,251065,245128,256187,255558,241611,256940,241582,236092,251401,239064,249308,255398,243657,240097,266245,258958,248043,,325.9501,0.3924723,
465.9127@0.39305556,1,220808,208731,219337,205746,193313,199620,218956,185811,206208,214959,209320,201999,200383,194579,197515,208902,184368,207411,228337,212868,212224,210390,213271,208949,213986,212070,206033,220166,210240,208067,221330,217091,186017,231547,223152,216792,,465.9127,0.39305556,
259.9214@0.39474198,1,133916,132003,140618,1,129522,141000,146296,142568,143552,1,144597,139050,127119,128598,134119,135978,136810,130758,140635,129410,1,134528,146311,144509,147297,154387,152393,148971,145424,138983,153849,1,147017,155200,1,149077,,259.9214,0.39474198,
605.8735@0.39525005,1,92431,1,116784,1,84717,1,91707,41467,107096,110203,1,1,90725,100491,103654,1,1,84748,120347,92932,114010,115309,114589,101434,110130,110834,100251,115947,88897,104488,117111,109498,39890,1,98086,116795,,605.8735,0.39525005,
243.9473@0.3973611,1,1279374,1254721,1297331,1219086,1163540,1198871,1268434,1262322,1274258,1309541,1291346,1265584,1197701,1212195,1188152,1245402,1272264,1254201,1379168,1324807,1346903,1315961,1344639,1310383,1318971,1303593,1296206,1356962,1320396,1288514,1294054,1298045,1237670,1401041,1399063,1350760,,243.9473,0.3973611,
383.9092@0.39772224,1,237886,227785,236187,222912,196064,202027,229773,226526,230471,239177,229436,225193,221407,218479,214898,230757,219555,221453,252875,242023,236755,156618,230818,240583,240134,240010,227523,250855,234068,227519,238229,234131,224689,258400,249109,251374,,383.9092,0.39772224,
523.872@0.3975429,1,154305,150273,146898,140519,130093,139419,150791,152447,143958,147401,143111,119291,141449,146427,138381,145878,140589,147464,157711,148964,155923,132357,158695,152769,153876,143996,137817,154596,147146,149349,150510,151747,1,169109,165157,153760,,523.872,0.3975429,
581.8306@0.40027776,1,126239,120336,133552,127928,112849,118619,137470,121412,133804,126537,122913,120226,126939,126131,120763,137372,123737,128562,143670,132043,130044,140960,140035,139108,134199,136027,118607,149737,126211,122372,131394,139038,123020,141089,155984,142139,,581.8306,0.40027776,
639.7888@0.40351427,1,101786,108993,110157,93794,96120,86745,116009,107151,107058,110245,109216,111996,107853,94668,100532,108770,114063,105351,120506,100837,119209,112953,119991,118145,109358,1,92683,121464,113749,95475,119228,110715,104532,137852,127064,121790,,639.7888,0.40351427,
441.8685@0.4018334,1,224133,219994,230559,203412,194124,192089,225324,217402,216554,221822,214886,210155,213160,200152,196282,220611,212950,207201,238063,231074,223636,232936,228541,223710,234191,217630,211307,231651,212542,219425,234276,215638,210975,239006,243434,239637,,441.8685,0.4018334,
697.7475@0.40715998,1,89917,1,91624,1,1,81291,92240,85439,98489,99710,93172,87576,88280,1,88735,1,88878,93369,1,87930,92737,95837,100031,1,1,1,91325,104238,91632,1,94476,99300,93403,107816,104796,1,,697.7475,0.40715998,
499.8273@0.40608332,1,176661,171185,172746,165868,153426,152195,178122,174019,170007,172705,167376,172059,167705,163529,160823,185982,167617,173050,186338,178458,177879,180366,182797,179048,182106,177235,166102,184365,178272,174276,179753,178756,165586,196186,194969,179188,,499.8273,0.40608332,
615.7448@0.40847063,1,133426,140639,133440,140445,1,1,135189,138730,130075,145836,139561,26042,128494,129544,122345,148599,135468,143862,150387,139276,135804,144113,138975,146820,145194,138779,73708,154356,141227,145280,134617,137318,124607,161894,153241,148725,,615.7448,0.40847063,
