Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,127/126,127/126 Count,127/126 Variability [%],128/126,128/126 Count,128/126 Variability [%],129/126,129/126 Count,129/126 Variability [%],130/126,130/126 Count,130/126 Variability [%],131/126,131/126 Count,131/126 Variability [%],Score A2,Coverage A2,# Peptides A2,# PSM A2,Score B2,Coverage B2,# Peptides B2,# PSM B2,Score C2,Coverage C2,# Peptides C2,# PSM C2,# AAs,MW [kDa],calc. pI
A3KN83,Isoform 3 of Protein strawberry notch homolog 1,1.08,3,1,1,2,0.88,1;-;1,2.6,1.42,1;-;1,,1.156,1;-;1,13.9,1.419,1;-;1,11.6,1.328,1;-;1,,0,1.08,1,1,,,,,2.95,1.08,1,1,1391,154,7.77
A4D1P6,Isoform 1 of WD repeat-containing protein 91,6.69,6,6,6,7,1.665,1;-;2,21.6,1.142,1;-;2,,1.16,1;-;2,4.2,1.455,1;-;2,23.3,1.052,1;-;2,,11.48,4.95,4,4,,,,,6.74,2.54,3,3,747,83.3,6.58
A5D8V6,Vacuolar protein sorting-associated protein 37C,12.39,1,2,2,3,0.792,1;-;1,15.1,0.778,1;-;1,,0.911,1;-;1,15.6,0.528,1;-;1,50.7,1.012,1;-;1,,9.13,12.39,2,2,,,,,5.58,9.01,1,1,355,38.6,5.21
A5PLN9,Isoform 2 of UPF0533 protein C5orf44,5.84,5,3,3,3,1.022,-;-;2,,1.004,-;-;2,,0.983,-;-;2,,1.095,-;-;2,,0.992,-;-;2,,2.14,1.7,1,1,,,,,5.23,4.14,2,2,411,45.9,5.72
A5YKK6,Isoform 2 of CCR4-NOT transcription complex subunit 1,6.71,5,14,14,20,0.983,9;-;7,6.2,0.973,9;-;7,,0.994,9;-;7,0.4,1.004,9;-;7,2.1,1.031,9;-;7,,34.95,5.15,10,11,,,,,24.86,3.63,8,9,2371,266.2,7.05
A6NC98,Isoform 1 of Coiled-coil domain-containing protein 88B,14.7,14,20,22,34,1.131,9;-;4,5.9,1.246,9;-;4,,1.118,9;-;4,0.8,1.333,9;-;4,10.3,1.155,9;-;4,,66.38,13.35,20,21,,,,,34.63,8.6,13,13,1476,164.7,5.11
A6NDG6,Phosphoglycolate phosphatase,24.61,1,5,5,15,0.915,7;-;7,3.6,0.982,7;-;7,,1.111,7;-;7,2.3,1.15,7;-;7,8.1,1.028,7;-;7,,25.52,24.61,5,7,,,,,29.09,24.61,5,8,321,34,6.14
A6NDJ8,Putative Rab-43-like protein ENSP00000330714,27.07,3,2,4,43,0.751,2;-;2,17.3,0.984,2;-;2,,1.014,2;-;2,8.5,1.001,2;-;2,13.3,0.985,2;-;2,,57.03,13.26,3,19,,,,,72.7,25.97,3,24,181,20.2,6.54
A6NDU8,UPF0600 protein C5orf51,12.59,2,3,3,8,0.948,2;-;3,7.1,0.853,2;-;3,,1.096,2;-;3,2.4,0.998,2;-;3,7.8,1.045,2;-;3,,11.41,12.59,3,4,,,,,12.09,12.59,3,4,294,33.6,5.26
A6NE01,Protein FAM186A,0.55,2,1,2,2,,,,,,,,,,,,,,,,2.63,0.26,1,1,,,,,0,0.3,1,1,2351,262.6,8.6
A6NFX1,Major facilitator superfamily domain-containing protein 2B,3.62,2,1,1,2,0.874,1;-;1,2.5,0.757,1;-;1,,0.924,1;-;1,1.7,0.763,1;-;1,1.4,0.902,1;-;1,,4.16,3.62,1,1,,,,,4.38,3.62,1,1,497,52.9,8.73
A6NGU5,Putative gamma-glutamyltranspeptidase 3,7.22,28,4,4,5,0.85,2;-;-,,0.864,2;-;-,,0.955,2;-;-,,0.795,2;-;-,,0.96,2;-;-,,11.6,7.22,4,4,,,,,3.06,1.41,1,1,568,61.5,7.14
A6NGZ7,Putative protein unc-93 homolog B1-like protein,6.83,2,1,1,1,0.816,1;-;-,,1.385,1;-;-,,1.532,1;-;-,,1.919,1;-;-,,1.313,1;-;-,,2.45,6.83,1,1,,,,,,,,,249,27.2,5.55
A6NHR9,Isoform 1 of Structural maintenance of chromosomes flexible hinge domain-containing protein 1,14.96,4,21,22,39,0.902,18;-;13,1.3,1.168,18;-;13,,1.122,18;-;13,0.2,1.244,18;-;13,4.4,1.168,18;-;13,,75.44,13.22,18,24,,,,,48.1,7.88,14,15,2005,226.2,7.3
A6NI72,Putative neutrophil cytosol factor 1B,31.2,12,1,10,46,1.089,1;-;1,6.1,1.521,1;-;1,,1.562,1;-;1,2.8,2.128,1;-;1,0.2,1.29,1;-;1,,88.38,27.11,9,23,,,,,73.92,28.9,9,23,391,44.8,9.13
A6NIH7,Protein unc-119 homolog B,17.13,9,2,3,7,0.895,1;-;3,36.1,1.033,1;-;3,,0.964,1;-;3,3.6,0.947,1;-;3,1.1,1.053,1;-;3,,5.61,9.96,2,2,,,,,11.43,17.13,3,5,251,28.1,5.68
A6NKC4,Putative high affinity immunoglobulin gamma Fc receptor IC,3.93,3,1,1,2,1.122,1;-;1,2.3,1.381,1;-;1,,1.762,1;-;1,10.1,2.287,1;-;1,1.5,1.225,1;-;1,,2.75,3.93,1,1,,,,,2.95,3.93,1,1,280,32.1,8.68
A7E2Y1,myosin-7B,1.36,12,1,4,26,,,,,,,,,,,,,,,,26.63,1.36,4,13,,,,,25.01,1.36,4,13,1983,225.7,6.14
A8MSI8,UPF0631 protein C17orf108,26.92,3,2,2,5,0.871,1;-;2,10.2,0.839,1;-;2,,0.984,1;-;2,2,0.851,1;-;2,0.2,0.868,1;-;2,,11.01,26.92,2,3,,,,,7.31,26.92,2,2,78,9.4,9.66
A8MXV4,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",3.73,1,1,1,1,1.71,1;-;-,,1.271,1;-;-,,1.354,1;-;-,,1.595,1;-;-,,1.194,1;-;-,,4.63,3.73,1,1,,,,,,,,,375,42.2,7.64
A9UHW6,Isoform 1 of MIF4G domain-containing protein,36.49,6,6,6,8,0.887,3;-;2,13.9,0.826,3;-;2,,0.918,3;-;2,0.4,0.822,3;-;2,0.9,0.905,3;-;2,,20.28,36.49,6,6,,,,,11.47,17.57,2,2,222,25.4,5.33
B0I1T2,Isoform 1 of Myosin-Ig,34.97,8,31,31,136,1.074,57;-;57,3.2,1.132,58;-;58,,1.085,58;-;58,0.2,1.172,58;-;58,0.4,1.081,58;-;58,,255.13,34.97,31,69,,,,,241.19,30.35,25,67,1018,116.4,8.79
B2RUZ4,Uncharacterized protein LOC388588,28.21,1,1,1,1,1.018,1;-;-,,0.854,1;-;-,,1.089,1;-;-,,0.77,1;-;-,,0.924,1;-;-,,4.75,28.21,1,1,,,,,,,,,78,8.7,9.03
B5MCY1,similar to tudor domain containing 1,0.34,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0.34,1,1,2080,238,7.49
C9JLW8,Protein FAM195B,18.56,1,1,1,1,1.053,-;-;1,,0.933,-;-;1,,0.975,-;-;1,,0.914,-;-;1,,0.875,-;-;1,,,,,,,,,,0,18.56,1,1,97,10.9,9.41
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",32.98,2,16,16,28,1.112,12;-;14,4.3,0.918,12;-;14,,1.079,12;-;14,0.7,0.952,12;-;14,4.8,0.942,12;-;14,,41.96,27.36,12,13,,,,,56.86,25.08,12,15,658,72.9,7.34
O00139,Isoform 2 of Kinesin-like protein KIF2A,57.27,12,30,30,107,0.947,46;-;40,2.2,0.773,46;-;40,,0.957,46;-;40,0.5,0.86,46;-;40,0.7,0.807,46;-;40,,190.87,57.27,29,56,,,,,175.76,39.09,24,51,660,75,6.4
O00142,"Isoform Short of Thymidine kinase 2, mitochondrial",3.85,4,1,1,1,0.89,1;-;-,,1.023,1;-;-,,1.133,1;-;-,,0.895,1;-;-,,1.073,1;-;-,,2.98,3.85,1,1,,,,,,,,,234,27.5,6.84
O00148,ATP-dependent RNA helicase DDX39,48.71,14,11,21,78,0.951,15;-;14,10.9,1.161,15;-;14,,1.093,15;-;14,2.2,1.163,15;-;14,8.3,1.148,15;-;14,,122.54,47.78,20,42,,,,,120.04,42.62,16,36,427,49.1,5.68
O00151,PDZ and LIM domain protein 1,74.16,1,22,22,192,0.906,90;-;81,0.6,0.714,90;-;81,,0.859,90;-;81,1.3,0.705,90;-;81,4,0.777,90;-;81,,346.98,65.65,21,99,,,,,331.32,74.16,21,93,329,36,7.02
O00154,Isoform 6 of Cytosolic acyl coenzyme A thioester hydrolase,31.31,6,7,7,13,0.948,5;-;5,10.9,0.836,5;-;5,,1.005,5;-;5,3,0.87,5;-;5,2.4,0.984,5;-;5,,17.66,26.75,6,6,,,,,22.72,28.57,6,7,329,36.5,7.78
O00159,Isoform 2 of Myosin-Ic,11.48,5,10,11,19,1.088,8;-;9,10.5,0.77,8;-;9,,0.867,8;-;9,5.7,0.787,8;-;9,4.1,0.84,8;-;9,,27.44,8.17,8,9,,,,,31.6,7.98,7,10,1028,117.9,9.44
O00160,Myosin-If,29.14,4,26,30,77,1.171,30;-;22,10.6,1.214,30;-;22,,1.246,30;-;22,2.9,1.353,30;-;22,3,1.128,30;-;22,,154.1,28.32,29,44,,,,,120.09,20.49,19,33,1098,124.8,9.11
O00161,Isoform SNAP-23a of Synaptosomal-associated protein 23,55.92,6,15,15,59,0.764,26;-;22,1.6,0.803,26;-;22,,0.777,26;-;22,6.2,0.671,26;-;22,9.7,0.841,26;-;22,,94.86,53.55,13,29,,,,,83.92,50.71,13,30,211,23.3,5.01
O00170,Aryl hydrocarbon receptor interacting protein,46.59,4,14,14,57,1.01,23;-;23,1.4,1.12,23;-;23,,0.987,23;-;23,3.3,1.095,23;-;23,1.3,1.101,23;-;23,,91.53,44.81,13,27,,,,,95.1,43.92,13,30,337,38.5,6.84
O00178,GTP-binding protein 1,15.25,2,7,7,22,0.966,7;-;9,0.7,0.894,7;-;9,,0.92,7;-;9,8.6,0.872,7;-;9,3.8,0.978,7;-;9,,40.67,15.25,7,11,,,,,38.21,15.25,7,11,669,72.4,8.34
O00186,Syntaxin-binding protein 3,31.42,1,16,16,32,0.867,11;-;11,11.5,0.821,11;-;11,,0.931,11;-;11,2.6,0.808,11;-;11,6,0.859,11;-;11,,50.6,17.06,10,14,,,,,53.65,28.55,13,18,592,67.7,7.8
O00193,Small acidic protein,33.88,2,7,7,37,0.939,21;-;14,2.8,1.282,21;-;14,,0.917,21;-;14,0.8,1.254,21;-;14,7.5,1.163,21;-;14,,69.81,33.88,7,22,,,,,40.37,33.88,6,15,183,20.3,4.72
O00194,Ras-related protein Rab-27B,42.2,3,9,10,66,1.422,25;-;25,16.3,0.694,25;-;25,,0.994,25;-;25,0.6,0.851,25;-;25,5.9,0.79,25;-;25,,102.08,42.2,10,32,,,,,104.82,37.16,9,34,218,24.6,5.52
O00203,Isoform 1 of AP-3 complex subunit beta-1,17.18,2,9,16,32,1.014,9;-;8,5.7,0.996,9;-;8,,1.034,9;-;8,1.4,0.961,9;-;8,4.7,1.018,9;-;8,,58.2,17.18,16,18,,,,,45.03,13.8,12,14,1094,121.2,6.04
O00203,"cDNA FLJ51426, highly similar to Adapter-related protein complex 3 beta-1 subunit",13.81,1,1,8,17,0.83,1;-;1,5.2,0.917,1;-;1,,0.948,1;-;1,4.3,0.895,1;-;1,1.9,0.933,1;-;1,,29.64,13.81,8,10,,,,,18.03,10.44,6,7,565,63.7,8.28
O00213,"cDNA FLJ53875, highly similar to Amyloid beta A4 protein-binding family B member 1",4.37,7,1,2,4,,,,,,,,,,,,,,,,4.88,4.37,2,3,,,,,2.3,1.46,1,1,412,45.7,7.62
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",17.62,2,3,3,11,0.708,5;-;4,2.8,0.941,5;-;4,,0.98,5;-;4,2.7,0.879,5;-;4,10.2,1.05,5;-;4,,20.5,17.62,3,6,,,,,15.51,17.62,3,5,210,23.7,6.34
O00231,Proteasome 26S non-ATPase subunit 11 variant (Fragment),59.81,1,14,23,54,1.147,12;-;11,15.1,0.978,12;-;11,,1.021,12;-;11,2.6,1.029,12;-;11,10,0.972,12;-;11,,90.85,49.17,19,27,,,,,85.76,51.06,19,27,423,47.5,6.48
O00232,26S proteasome non-ATPase regulatory subunit 12,44.52,10,17,17,60,1.113,20;-;16,7.4,0.995,20;-;16,,1.045,20;-;16,6.1,0.998,20;-;16,4.6,0.981,20;-;16,,102.43,40.13,15,34,,,,,64.83,37.72,15,26,456,52.9,7.65
O00233,Isoform p27-S of 26S proteasome non-ATPase regulatory subunit 9,51.2,7,9,9,31,0.956,14;-;12,6.4,1.028,14;-;12,,1.049,14;-;12,0.6,0.99,14;-;12,1.2,0.999,14;-;12,,57.04,46.41,8,16,,,,,45.17,51.2,9,15,209,22.7,5.59
O00244,Copper transport protein ATOX1,50,1,3,3,11,1.027,6;-;5,3.2,1.011,6;-;5,,0.962,6;-;5,0.9,0.996,6;-;5,0,0.923,6;-;5,,15.83,50,3,6,,,,,13.27,50,3,5,68,7.4,7.24
O00255,Isoform 2 of Menin,10.66,7,3,3,7,0.976,4;-;2,19.5,1.342,4;-;2,,0.956,4;-;2,8.5,1.294,4;-;2,6.2,1.273,4;-;2,,19.16,10.66,3,4,,,,,11.01,4.43,2,3,610,67.4,6.55
O00264,Membrane-associated progesterone receptor component 1,56.41,2,9,11,30,0.933,7;-;10,6.9,0.707,7;-;10,,0.816,7;-;10,4.9,0.635,7;-;10,9,0.77,7;-;10,,48.72,55.9,10,17,,,,,34.99,43.08,7,13,195,21.7,4.7
O00267,Isoform 2 of Transcription elongation factor SPT5,15.51,3,13,13,18,1.001,8;-;6,0.7,1.204,8;-;6,,1.06,8;-;6,3,1.211,8;-;6,2.4,1.153,8;-;6,,40.58,12.93,11,11,,,,,25.39,8.96,7,7,1083,120.4,5.1
O00273,Isoform DFF45 of DNA fragmentation factor subunit alpha (Fragment),30.82,2,6,6,8,0.863,3;-;4,5.2,1.164,3;-;4,,0.966,3;-;4,4.1,1.152,3;-;4,4.2,1.13,3;-;4,,13.63,14.2,3,4,,,,,15.23,21.45,4,4,331,36.5,4.79
O00299,Chloride intracellular channel protein 1,72.2,7,18,19,214,0.995,101;-;87,2.4,0.882,101;-;87,,0.88,101;-;87,1.5,0.747,101;-;87,0.6,0.891,101;-;87,,368.31,68.46,17,113,,,,,335.15,69.71,17,101,241,26.9,5.17
O00303,Eukaryotic translation initiation factor 3 subunit F,13.45,4,5,5,10,1.03,3;-;2,10.8,0.986,3;-;2,,1.002,3;-;2,15.6,0.993,3;-;2,18.6,1.031,3;-;2,,12.83,8.68,4,5,,,,,9.83,11.48,4,5,357,37.5,5.45
O00308,"cDNA, FLJ78996, highly similar to NEDD4-like E3 ubiquitin-protein ligase WWP2",2.87,2,1,1,6,0.727,1;-;2,31.6,1.011,1;-;2,,0.948,1;-;2,17.4,0.887,1;-;2,11.7,1.082,1;-;2,,3.6,2.87,1,3,,,,,3.7,2.87,1,3,488,57.7,6.49
O00329,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta isoform",13.7,3,11,11,17,0.884,7;-;6,19.6,1.168,7;-;6,,1.072,7;-;6,1.8,1.11,7;-;6,0.8,1.124,7;-;6,,23.87,10.63,8,8,,,,,21.89,9,8,9,1044,119.4,7.18
O00391,Isoform 2 of Sulfhydryl oxidase 1,10.43,4,6,6,10,0.929,5;-;4,2.8,0.782,5;-;4,,0.94,5;-;4,0,0.766,5;-;4,4.8,0.85,5;-;4,,17.54,8.61,5,6,,,,,10.74,7.62,4,4,604,66.8,8.56
O00399,Dynactin subunit 6,20,2,4,4,10,0.903,5;-;4,4.4,0.812,5;-;4,,0.948,5;-;4,2.1,0.82,5;-;4,6.7,0.927,5;-;4,,20.29,16.84,3,6,,,,,9.87,15.79,3,4,190,20.7,6.32
O00400,Acetyl-coenzyme A transporter 1,6.92,3,3,3,3,0.548,2;-;-,,0.86,2;-;-,,0.966,2;-;-,,0.782,2;-;-,,0.908,2;-;-,,11.42,6.92,3,3,,,,,,,,,549,60.9,7.33
O00410,Isoform 2 of Importin-5,18.32,9,16,16,45,1.016,19;-;18,4.7,0.916,19;-;18,,0.935,19;-;18,0.7,0.893,19;-;18,6.5,0.93,19;-;18,,84.03,16.49,15,23,,,,,71.02,15.72,12,22,1037,116.9,4.96
O00429,Isoform 2 of Dynamin-1-like protein,46.06,11,2,31,217,0.629,3;-;2,7.7,1.029,3;-;2,,0.995,3;-;2,6,0.855,3;-;2,11.5,0.95,3;-;2,,355.71,45.07,30,110,,,,,340.49,45.63,30,107,710,79.4,6.93
O00429,Isoform 3 of Dynamin-1-like protein,45.78,7,1,30,213,0.766,1;-;1,11.5,1.197,1;-;1,,1.062,1;-;1,9.3,1.001,1;-;1,8.5,1.162,1;-;1,,345.96,44.78,29,107,,,,,341.76,45.35,29,106,699,78.1,6.81
O00442,Isoform 1 of RNA 3'-terminal phosphate cyclase,23.77,3,5,5,9,0.835,6;-;3,2.8,0.902,6;-;3,,0.994,6;-;3,8.5,0.98,6;-;3,0.1,1.046,6;-;3,,14.69,21.31,4,6,,,,,10.17,13.11,3,3,366,39.3,7.85
O00453,Isoform 6 of Leukocyte-specific transcript 1 protein,23.53,9,1,1,2,0.878,1;-;1,4.6,2.057,1;-;1,,1.954,1;-;1,2.9,1.817,1;-;1,1.1,2.035,1;-;1,,2.93,23.53,1,1,,,,,3.36,23.53,1,1,51,5.9,9.45
O00459,Phosphatidylinositol 3-kinase regulatory subunit beta,7.01,7,2,5,9,1.224,-;-;1,,0.777,-;-;1,,1.068,-;-;1,,1.046,-;-;1,,0.984,-;-;1,,7.82,2.61,2,2,,,,,20.18,7.01,5,7,728,81.6,6.52
O00462,Beta-mannosidase,3.64,2,2,3,5,0.8,1;-;-,,0.974,1;-;-,,1.056,1;-;-,,0.972,1;-;-,,1.037,1;-;-,,8.46,3.64,3,3,,,,,4.69,1.71,2,2,879,100.8,5.52
O00479,High mobility group nucleosome-binding domain-containing protein 4,72.22,1,10,13,94,1.005,32;-;29,2.2,1.195,32;-;29,,0.907,32;-;29,4.6,1.127,32;-;29,4,1.13,32;-;29,,134.55,55.56,12,50,,,,,111.97,72.22,11,44,90,9.5,10.48
O00481,butyrophilin subfamily 3 member A1 isoform c,13.45,15,4,7,8,0.896,3;-;-,,0.9,3;-;-,,0.873,3;-;-,,0.973,3;-;-,,0.935,3;-;-,,20,13.45,7,7,,,,,3.18,2.17,1,1,461,52,8.37
O00483,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4,55.56,2,5,5,32,1.004,13;-;11,1.5,0.97,13;-;11,,1.029,13;-;11,2.9,0.922,13;-;11,3.2,0.965,13;-;11,,44.01,55.56,5,15,,,,,47.29,32.1,3,17,81,9.4,9.38
O00487,26S proteasome non-ATPase regulatory subunit 14,33.55,3,8,8,23,0.917,10;-;12,0.5,0.943,10;-;12,,1.041,10;-;12,5.1,1.007,10;-;12,2,0.994,10;-;12,,35.55,31.29,7,10,,,,,45.2,31.61,7,13,310,34.6,6.52
O00499,Isoform BIN1-10-13 of Myc box-dependent-interacting protein 1,58.68,14,18,19,56,0.941,23;-;17,2.4,1.166,23;-;17,,0.946,23;-;17,0.7,1.127,23;-;17,6.4,1.144,23;-;17,,101.04,58.68,19,31,,,,,88.32,49.39,14,25,409,45.5,5.49
O00505,Importin subunit alpha-3,12.86,2,2,6,10,1.009,2;-;2,1.2,1.063,2;-;2,,0.988,2;-;2,3.5,1.195,2;-;2,36.7,1.009,2;-;2,,15.17,8.64,4,5,,,,,12.53,11.71,5,5,521,57.8,4.94
O00506,Serine/threonine-protein kinase 25,21.6,14,2,6,14,0.932,3;-;-,,1.108,3;-;-,,1.026,3;-;-,,0.864,3;-;-,,1.012,3;-;-,,33.46,19.95,5,9,,,,,18.4,8.45,3,5,426,48.1,6.74
O00522,Isoform 2 of Krev interaction trapped protein 1,3.02,4,1,1,1,1.263,1;-;-,,0.868,1;-;-,,1.017,1;-;-,,1.25,1;-;-,,0.987,1;-;-,,4.51,3.02,1,1,,,,,,,,,529,60.9,7.9
O00534,Isoform 1 of von Willebrand factor A domain-containing protein 5A,14.38,5,9,9,19,0.872,5;-;7,8.6,0.736,5;-;7,,0.856,5;-;7,4.9,0.697,5;-;7,0.9,0.816,5;-;7,,34.11,9.92,7,10,,,,,30.46,11.32,7,9,786,86.4,6.58
O00562,Isoform 2 of Membrane-associated phosphatidylinositol transfer protein 1,0.64,2,1,1,2,0.843,-;-;1,,1.098,-;-;1,,1.006,-;-;1,,1.108,-;-;1,,1.067,-;-;1,,2.66,0.64,1,1,,,,,3.1,0.64,1,1,1243,134.7,5.95
O00567,Nucleolar protein 56,31.48,7,18,18,61,1.124,24;-;27,0.5,1.17,24;-;27,,1.05,24;-;27,1.4,1.175,24;-;27,1.6,1.137,24;-;27,,96.07,27.61,15,27,,,,,112.36,29.12,15,34,594,66,9.19
O00571,ATP-dependent RNA helicase DDX3X,39.12,5,5,22,82,1.008,6;-;3,0.9,1.128,6;-;3,,1.023,6;-;3,4.8,1.151,6;-;3,1.4,0.982,6;-;3,,144.15,32.93,19,41,,,,,142.06,35.5,19,41,662,73.2,7.18
O00602,Ficolin-1,27.61,6,11,11,45,0.993,18;-;13,7.1,1.678,18;-;13,,1.692,18;-;13,1.4,2.005,18;-;13,1.9,1.39,18;-;13,,71.94,27.61,10,24,,,,,68.77,24.85,9,21,326,35.1,6.86
O00629,Importin subunit alpha-4,23.99,2,5,9,26,0.934,10;-;7,9.8,0.879,10;-;7,,0.929,10;-;7,5.3,0.778,10;-;7,7.2,0.935,10;-;7,,57.54,19.77,7,15,,,,,38.29,17.27,7,11,521,57.9,4.96
O00635,Tripartite motif-containing protein 38,6.88,1,3,3,3,0.998,2;-;-,,1.265,2;-;-,,0.974,2;-;-,,1.414,2;-;-,,1.161,2;-;-,,8.36,6.88,3,3,,,,,,,,,465,53.4,7.02
O00743,Isoform 1 of Serine/threonine-protein phosphatase 6 catalytic subunit,35.08,4,9,9,40,0.886,14;-;19,6.9,0.938,14;-;19,,0.931,14;-;19,1.1,0.926,14;-;19,2,0.977,14;-;19,,49.43,32.46,8,19,,,,,52.08,32.79,8,21,305,35.1,5.69
O00754,Lysosomal alpha-mannosidase,8.41,2,8,8,20,1.495,3;-;6,47.3,1.103,3;-;6,,1.125,3;-;6,7.2,1.152,3;-;6,15,1.012,3;-;6,,22.29,7.12,7,10,,,,,27.54,7.62,7,10,1011,113.7,7.28
O00764,Isoform 3 of Pyridoxal kinase,34.93,4,8,8,23,1.131,9;-;7,14.7,1.207,9;-;7,,1.198,9;-;7,3.6,1.392,9;-;7,0.5,1.188,9;-;7,,37.22,34.93,8,14,,,,,27.89,27.94,6,9,272,30.6,6.65
O14497,Isoform 1 of AT-rich interactive domain-containing protein 1A,6.83,5,11,11,17,1.02,10;-;6,8.8,1.264,10;-;6,,1.11,10;-;6,2.9,1.223,10;-;6,3.8,1.203,10;-;6,,47.98,6.35,10,11,,,,,20.73,3.28,6,6,2285,241.9,6.7
O14519,10 kDa protein,9.2,3,1,1,2,,,,,,,,,,,,,,,,3.12,9.2,1,1,,,,,3.21,9.2,1,1,87,9.6,9.19
O14523,Isoform 1 of C2 domain-containing protein 2-like,11.61,2,5,5,10,0.902,5;-;4,7.2,0.798,5;-;4,,0.889,5;-;4,8,0.766,5;-;4,1.3,0.868,5;-;4,,16.88,6.66,3,5,,,,,14.14,11.61,5,5,706,76.1,7.69
O14524,Isoform 2 of Transmembrane protein 194A,2.16,2,1,1,1,,,,,,,,,,,,,,,,1.97,2.16,1,1,,,,,,,,,371,42,6.16
O14526,FCH domain only protein 1 isoform c,1.43,3,1,1,1,,,,,,,,,,,,,,,,1.9,1.43,1,1,,,,,,,,,839,91,7.11
O14548,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",34.21,3,4,4,12,1.117,4;-;5,7.5,0.948,4;-;5,,1.005,4;-;5,5.2,0.931,4;-;5,1.9,0.922,4;-;5,,17.61,34.21,4,5,,,,,23.02,34.21,4,7,114,12.6,9.42
O14561,"Acyl carrier protein, mitochondrial",14.74,1,2,2,6,2.564,3;-;2,39.6,1.013,3;-;2,,1.118,3;-;2,2.8,1.599,3;-;2,26.4,0.976,3;-;2,,7.92,14.74,2,3,,,,,5.24,14.74,2,3,156,17.4,4.93
O14579,coatomer subunit epsilon isoform c,31.64,3,13,13,36,1.043,14;-;13,6.6,0.861,14;-;13,,1.014,14;-;13,4.6,0.92,14;-;13,3.4,0.93,14;-;13,,52.3,28.13,12,20,,,,,38.06,31.25,10,16,256,28.8,5.29
