Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,127/126,127/126 Count,127/126 Variability [%],128/126,128/126 Count,128/126 Variability [%],129/126,129/126 Count,129/126 Variability [%],130/126,130/126 Count,130/126 Variability [%],131/126,131/126 Count,131/126 Variability [%],Score A2,Coverage A2,# Peptides A2,# PSM A2,Score B2,Coverage B2,# Peptides B2,# PSM B2,Score C2,Coverage C2,# Peptides C2,# PSM C2,# AAs,MW [kDa],calc. pI
A3KMH1,204 kDa protein,1.49,4,2,2,3,0.99,2;1;-,20.2,0.746,2;1;-,43.4,1.467,2;1;-,,1.052,2;1;-,26.3,0.967,2;1;-,12.4,6.52,1.49,2,2,3.01,0.72,1,1,,,,,1809,204.1,7.02
A3KN83,Isoform 3 of Protein strawberry notch homolog 1,4.67,3,3,3,5,0.925,2;-;2,24.7,0.416,2;-;2,,1.063,2;-;1,6.8,0.974,2;-;2,29.9,0.936,2;-;2,,2.86,1.08,1,2,2.37,1.51,1,1,4.87,3.16,2,2,1391,154,7.77
A4D1P6,Isoform 2 of WD repeat-containing protein 91,3.62,7,3,3,4,,,,,,,,,,,,,,,,,,,,1.62,0.94,1,1,5.82,3.62,3,3,636,71.3,7.31
A4D1U4,Protein LCHN,3.08,1,1,1,1,,,,,,,,,,,,,,,,2.62,3.08,1,1,,,,,,,,,455,51.4,5.31
A4D997,Uncharacterized protein C9orf102,2.82,1,1,1,1,0.841,1;-;-,,1.008,1;-;-,,0.801,1;-;-,,0.989,1;-;-,,0.663,1;-;-,,0,2.82,1,1,,,,,,,,,531,60.7,8.91
A4UGR9,Isoform 2 of Xin actin-binding repeat-containing protein 2,0.78,3,2,2,3,0.69,1;1;-,69.2,0.45,1;1;-,28.4,1.806,1;1;-,,0.733,1;1;-,61,0.992,1;1;-,9.8,0,0.42,1,2,0,0.36,1,1,,,,,3327,377.1,6.42
A5D8V6,Vacuolar protein sorting-associated protein 37C,9.01,1,1,1,2,0.577,1;1;-,34.5,0.685,1;1;-,33.6,0.581,1;1;-,,0.656,1;1;-,36.1,0.994,1;1;-,1.1,5.43,9.01,1,1,4.75,9.01,1,1,,,,,355,38.6,5.21
A5PLN9,Isoform 2 of UPF0533 protein C5orf44,8.76,6,3,3,3,1.057,1;-;1,7.9,0.267,1;-;1,,1.312,1;-;1,18.5,1.068,1;-;1,18.9,0.945,1;-;1,,2.03,1.46,1,1,2.26,2.19,1,1,3.11,5.11,1,1,411,45.9,5.72
A5YKK6,Isoform 2 of CCR4-NOT transcription complex subunit 1,7.25,5,14,14,25,0.912,2;1;4,20.6,1.097,2;1;4,34.4,0.794,2;1;4,36.6,0.901,2;1;4,14.9,0.897,2;1;4,18.9,28.11,4.6,9,9,22.99,4.13,8,9,16.93,3.63,6,7,2371,266.2,7.05
A6NC98,Isoform 1 of Coiled-coil domain-containing protein 88B,16.46,17,19,21,50,1.262,7;5;2,4.2,1.466,7;5;3,11.9,1.318,7;5;2,4.9,1.169,7;5;3,15.3,1.062,7;5;3,2.3,60.87,12.47,16,19,46.9,9.96,14,15,43.92,9.21,13,16,1476,164.7,5.11
A6NCM1,Putative IQ and AAA domain-containing protein 1-like,0.73,3,1,1,2,1.699,-;-;1,,0.55,-;-;1,,2.45,-;-;1,,2.366,-;-;1,,1.405,-;-;1,,,,,,,,,,0,0.73,1,2,817,94.9,9.25
A6NCS6,hypothetical protein LOC257407,2.37,4,1,1,1,,,,,,,,,,,,,,,,0,2.37,1,1,,,,,,,,,295,30.5,8.34
A6NDG6,Phosphoglycolate phosphatase,21.18,1,5,5,15,0.922,2;2;3,10.3,1.056,2;2;3,35.1,0.766,2;2;3,9.6,0.913,2;2;3,16.5,1.03,2;2;3,1.8,17.46,18.07,4,5,12.74,16.2,4,5,17.46,16.2,4,5,321,34,6.14
A6NDJ8,Putative Rab-43-like protein ENSP00000330714,30.94,4,3,5,60,1.029,1;2;1,33.9,1.118,1;2;1,36.6,1.141,1;2;1,38.1,0.911,1;2;1,28.9,1.018,1;2;1,12.1,53.45,17.13,4,18,65.9,27.07,4,24,55.74,29.83,4,18,181,20.2,6.54
A6NDU8,UPF0600 protein C5orf51,10.2,2,2,2,8,0.67,1;2;2,10.6,0.698,1;2;2,39.6,0.495,1;2;2,22.6,0.658,1;2;2,8.1,0.845,1;2;2,7.2,9.62,10.2,2,3,7.6,10.2,2,3,5.37,4.76,1,2,294,33.6,5.26
A6NFH5,Fatty acid-binding protein 12,8.57,1,1,2,16,2.071,2;2;2,6,0.617,2;2;2,8.9,2.264,2;2;2,5.8,2.194,2;2;2,7.6,1.329,2;2;2,5.7,0,8.57,2,5,3.66,8.57,2,7,0,4.29,1,4,140,15.6,7.93
A6NHR9,Isoform 1 of Structural maintenance of chromosomes flexible hinge domain-containing protein 1,21.85,4,35,35,103,1.317,22;30;27,5.3,1.501,22;30;27,10.6,1.66,22;30;27,15.7,1.194,22;30;27,6.2,1.126,22;30;27,3.6,84.02,16.46,26,33,108.49,17.51,29,37,91.67,15.76,25,33,2005,226.2,7.3
A6NI72,Putative neutrophil cytosol factor 1B,55.24,12,2,18,104,1.515,3;-;2,41.9,1.627,3;-;2,,1.569,3;-;2,59.2,1.496,3;-;2,38.6,1.068,3;-;2,,117.49,52.69,17,38,101.97,43.22,14,33,94.94,43.22,15,33,391,44.8,9.13
A6NIH7,Protein unc-119 homolog B,7.97,1,1,1,4,1.05,1;1;2,6.4,0.668,1;1;2,46.8,0.884,1;1;2,9.8,1.075,1;1;2,11,1.069,1;1;2,10.7,3.6,7.97,1,1,3.67,7.97,1,1,4.95,7.97,1,2,251,28.1,5.68
A7E2Y1,myosin-7B,1.06,11,1,3,13,,,,,,,,,,,,,,,,7.03,0.76,2,3,11.76,1.06,3,5,9.35,0.76,2,5,1983,225.7,6.14
A8MSI8,UPF0631 protein C17orf108,26.92,3,2,2,2,0.771,2;-;-,,0.819,2;-;-,,0.827,2;-;-,,0.85,2;-;-,,0.857,2;-;-,,6.29,26.92,2,2,,,,,,,,,78,9.4,9.66
A8MXV4,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",3.73,1,1,1,5,0.947,1;1;1,5,1.349,1;1;1,9.8,2.22,1;1;1,10.7,0.829,1;1;1,10.8,0.957,1;1;1,1.3,7.31,3.73,1,2,4.29,3.73,1,1,8.03,3.73,1,2,375,42.2,7.64
A9UHW6,Isoform 1 of MIF4G domain-containing protein,32.88,6,5,5,11,0.727,4;4;2,6.8,0.713,4;4;2,11.7,0.713,4;4;2,17.5,0.924,4;4;2,11.4,0.943,4;4;2,11.9,13.36,25.23,4,5,16.49,23.42,3,4,7.42,9.91,1,2,222,25.4,5.33
B0I1T2,Isoform 1 of Myosin-Ig,40.77,6,34,34,204,1.188,46;41;43,4,1.384,46;41;43,4.2,1.486,46;41;43,6.7,1.103,46;41;43,5.2,1.072,46;41;43,2.9,238.46,33.3,27,71,223.76,32.32,28,67,226.4,38.02,31,66,1018,116.4,8.79
B1AJZ1,Putative uncharacterized protein C1orf196,4.8,2,1,1,1,,,,,,,,,,,,,,,,,,,,0,4.8,1,1,,,,,125,14.2,8.03
C9JLW8,Protein FAM195B,22.68,1,2,2,4,1.123,1;1;1,4,0.886,1;1;1,8.5,0.989,1;1;1,2.7,1.295,1;1;1,7.7,1.096,1;1;1,7,0,11.34,1,1,4.84,22.68,2,2,2.22,11.34,1,1,97,10.9,9.41
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",28.27,2,12,12,37,0.915,7;10;6,10,0.674,7;10;6,6,1.182,7;10;6,20.8,0.985,7;10;6,17.1,0.891,7;10;6,3,48.15,24.32,9,15,36.51,18.84,8,12,27.66,14.89,7,10,658,72.9,7.34
O00139,Isoform 2 of Kinesin-like protein KIF2A,47.58,11,26,26,106,0.611,27;29;19,1.4,0.72,27;29;19,8.1,0.652,27;29;19,1.2,0.715,27;29;19,6.8,0.828,27;29;19,1.5,106.17,40.61,20,36,112.41,38.03,20,38,95.86,33.48,20,32,660,75,6.4
O00142,"Isoform Short of Thymidine kinase 2, mitochondrial",14.96,3,2,2,3,0.871,1;2;-,3.4,0.884,1;2;-,32.2,0.942,1;2;-,,1.034,1;2;-,5.3,0.931,1;2;-,4,2.23,9.4,1,1,5.06,14.96,2,2,,,,,234,27.5,6.84
O00148,ATP-dependent RNA helicase DDX39,56.44,15,13,25,166,1.214,9;11;6,4,1.737,9;11;6,10.2,1.232,9;11;6,17.5,1.232,9;11;6,8.5,1.123,9;11;6,7.7,151.98,48.95,19,53,161.42,47.07,19,57,155.72,40.98,18,56,427,49.1,5.68
O00151,PDZ and LIM domain protein 1,73.86,1,22,22,276,0.519,65;63;72,6.6,0.476,65;63;72,3.5,0.331,65;63;72,3.3,0.752,65;63;72,2.5,0.756,65;63;72,1.9,264.75,69,20,89,273.27,67.78,17,92,276.87,68.09,19,95,329,36,7.02
O00154,Isoform 6 of Cytosolic acyl coenzyme A thioester hydrolase,23.4,6,5,5,15,0.788,4;5;3,4.1,0.998,4;5;3,8.1,0.587,4;5;3,8.5,0.84,4;5;3,5.3,0.953,4;5;3,6,16.89,23.4,5,5,20.89,18.24,4,6,14.72,12.16,3,4,329,36.5,7.78
O00159,Isoform 2 of Myosin-Ic,8.66,4,7,7,19,0.781,4;4;4,16.5,0.604,4;4;4,13.9,0.765,4;4;4,12.1,1.029,4;4;4,28.8,0.934,4;4;4,4.9,20.13,6.81,5,6,19.62,5.25,4,6,15.1,7.78,6,7,1028,117.9,9.44
O00160,Myosin-If,38.25,4,35,41,160,1.232,20;26;23,2.3,1.323,20;26;23,10.2,1.389,20;26;23,2,1.152,20;26;23,2.7,1.074,20;26;23,3.5,104.91,24.5,25,43,136.72,31.69,32,54,148.63,33.97,35,63,1098,124.8,9.11
O00161,Isoform SNAP-23a of Synaptosomal-associated protein 23,51.66,7,12,12,64,0.693,15;18;13,19.1,0.679,15;18;13,29.2,0.705,15;18;13,28.8,1.256,15;18;13,11,0.825,15;18;13,3.1,55.9,50.71,11,23,65.01,46.45,11,24,42.95,37.91,10,17,211,23.3,5.01
O00170,Aryl hydrocarbon receptor interacting protein,41.84,4,14,14,70,1.034,14;20;15,6.9,1.265,14;20;15,9.9,0.868,14;20;15,6.2,1.111,14;20;15,7.6,1.012,14;20;15,6.1,68.34,39.17,11,21,84.4,39.17,11,30,54.11,34.72,9,19,337,38.5,6.84
O00178,GTP-binding protein 1,11.96,2,7,7,23,1.059,2;3;-,8.6,1.183,2;3;-,23.6,1.018,2;3;-,,1.11,2;3;-,17.9,0.978,2;3;-,7.5,20.49,10.31,6,7,25.74,9.27,5,9,19.95,8.67,5,7,669,72.4,8.34
O00186,Syntaxin-binding protein 3,23.65,1,12,12,50,0.705,10;6;15,7.4,0.53,10;6;15,7.5,0.612,10;6;15,7.6,0.753,10;6;14,1.6,0.919,10;6;14,2.2,49.98,17.23,8,17,28.05,12.84,6,11,50.81,15.2,8,22,592,67.7,7.8
O00193,Small acidic protein,33.88,2,6,6,50,1.314,11;11;8,9.7,1.157,11;11;8,8.6,1.02,11;11;8,5,1.173,11;11;8,16.7,1.123,11;11;8,2,56.6,33.33,5,19,48.27,33.88,6,19,31.84,33.88,5,12,183,20.3,4.72
O00194,Ras-related protein Rab-27B,49.08,3,10,11,105,0.52,24;23;23,2.5,0.411,24;23;23,16,0.368,24;23;23,11.3,0.65,24;23;23,14.3,0.754,24;23;23,1.3,82.31,49.08,11,35,92.26,42.2,10,36,85.28,42.2,9,34,218,24.6,5.52
O00203,"cDNA FLJ51426, highly similar to Adapter-related protein complex 3 beta-1 subunit",15.58,1,1,9,26,0.836,1;1;1,6,1.794,1;1;1,15.5,0.759,1;1;1,4.2,0.715,1;1;1,2.1,0.89,1;1;1,4.2,18.97,8.85,5,8,15.93,10.44,6,8,21.57,12.74,7,10,565,63.7,8.28
O00203,Isoform 1 of AP-3 complex subunit beta-1,10.6,2,3,11,34,1.064,2;3;2,9.4,1.437,2;3;2,21.2,1.157,2;3;2,16.9,1.221,2;3;2,19.9,0.933,2;3;2,3.5,30.81,7.13,7,12,24.65,7.13,7,10,28.32,8.32,8,12,1094,121.2,6.04
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",17.62,2,3,3,24,1.05,6;7;5,5.9,1.054,6;7;5,16.8,1.151,6;7;5,15,1.051,6;7;5,2.6,1.03,6;7;5,9.8,23.62,17.62,3,8,34.15,17.62,3,10,18.28,17.62,3,6,210,23.7,6.34
O00231,Proteasome 26S non-ATPase subunit 11 variant (Fragment),55.08,1,11,21,102,1.122,16;17;16,3.4,0.678,16;17;16,17.7,1.069,16;17;16,4.1,0.955,16;17;16,2.2,1.066,16;17;16,3,94.04,39.24,14,34,85.65,52.01,19,35,85.67,49.41,18,33,423,47.5,6.48
O00232,26S proteasome non-ATPase regulatory subunit 12,46.49,8,20,20,77,0.966,13;18;18,2.6,0.747,13;18;18,38.6,0.732,13;18;18,3,0.818,13;18;18,2.4,0.989,13;18;18,0.5,62.8,36.84,15,25,71.14,43.86,17,28,52.25,36.84,13,24,456,52.9,7.65
O00233,Isoform p27-S of 26S proteasome non-ATPase regulatory subunit 9,51.67,7,10,10,45,0.982,5;10;10,7.6,1.105,5;10;10,3.5,0.846,5;10;10,7.8,1.001,5;10;10,14,0.97,5;10;10,2.6,34.42,43.06,7,13,43.2,46.41,8,16,41.11,38.28,8,16,209,22.7,5.59
O00244,Copper transport protein ATOX1,57.35,1,4,4,15,0.947,2;4;6,9.8,0.651,2;4;6,38.1,0.792,2;4;6,4.9,1.167,2;4;6,5,0.827,2;4;6,8.3,4.81,45.59,3,4,9.41,57.35,3,5,10.67,57.35,3,6,68,7.4,7.24
O00264,Membrane-associated progesterone receptor component 1,49.23,2,8,9,31,0.453,6;3;4,9.4,0.643,5;3;4,8.7,0.424,6;3;4,19.7,0.552,6;3;4,14.7,0.73,6;3;4,5.6,21.51,37.44,7,12,15.32,14.87,5,9,24.18,19.49,5,10,195,21.7,4.7
O00267,Isoform 2 of Transcription elongation factor SPT5,14.4,3,11,11,27,1.357,5;7;4,16.7,1.324,5;7;4,64.8,1.434,5;7;4,14.3,1.237,5;7;4,12.1,1.186,5;7;4,15.8,27.08,8.59,6,8,31.77,9.23,8,11,18.66,7.57,5,8,1083,120.4,5.1
O00273,Isoform DFF45 of DNA fragmentation factor subunit alpha (Fragment),34.14,2,8,8,23,1.18,5;2;3,10.9,1.053,5;2;3,32.4,0.979,5;2;3,13.5,1.236,5;2;3,11.1,1.118,5;2;3,11.8,32.44,25.08,6,11,22.36,20.54,4,7,17.29,12.69,3,5,331,36.5,4.79
O00291,Huntingtin-interacting protein 1,3.28,4,3,4,5,1.05,1;-;-,,1.386,1;-;-,,1.231,1;-;-,,0.987,1;-;-,,0.907,1;-;-,,8.05,2.31,3,3,,,,,6.2,1.74,2,2,1037,116.1,5.3
O00299,Chloride intracellular channel protein 1,70.54,3,21,21,285,0.579,62;67;67,2.5,0.568,61;67;65,7.2,0.39,61;67;66,9.4,0.606,62;66;66,6.4,0.847,62;67;67,1.5,248.91,70.12,19,95,269.71,67.22,18,99,207.34,66.8,17,91,241,26.9,5.17
O00303,Eukaryotic translation initiation factor 3 subunit F,15.41,3,5,5,24,1.207,1;4;3,14.8,0.621,1;4;3,28.5,1.153,1;4;3,21.5,1.292,1;4;3,23.5,0.972,1;4;3,3.5,21.11,13.45,4,7,19.8,15.41,5,8,22.82,15.41,5,9,357,37.5,5.45
O00308,"cDNA, FLJ78996, highly similar to NEDD4-like E3 ubiquitin-protein ligase WWP2",4.3,3,2,2,4,1.029,-;1;-,,1.393,-;1;-,,0.985,-;1;-,,0.984,-;1;-,,1.181,-;1;-,,,,,,1.86,4.3,2,3,1.73,2.87,1,1,488,57.7,6.49
O00329,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta isoform",16.19,3,15,15,39,1.099,5;5;5,5.4,0.77,5;5;5,26.9,1.067,5;5;5,18.4,0.997,5;5;5,5.1,1.059,5;5;5,4.1,25.73,12.36,9,11,45.75,10.82,11,17,33.12,10.06,10,11,1044,119.4,7.18
O00391,Isoform 2 of Sulfhydryl oxidase 1,6.29,4,3,3,12,0.683,3;2;4,5.6,0.425,3;2;4,42.4,0.528,3;2;4,11.9,0.781,3;2;4,19.3,0.917,3;2;4,10.6,5.55,5.13,2,4,2.01,1.99,1,3,7.17,6.29,3,5,604,66.8,8.56
O00399,Dynactin subunit 6,15.79,2,3,3,6,0.802,1;1;3,26.3,0.785,1;1;3,33.5,0.88,1;1;3,52,0.853,1;1;3,31.6,0.857,1;1;3,24.8,3.34,7.37,1,1,2.39,7.37,1,1,11.1,15.79,3,4,190,20.7,6.32
O00410,Isoform 1 of Importin-5,26.98,19,19,19,61,0.771,13;12;16,8.5,0.991,13;11;15,18.3,0.598,13;12;15,4.8,0.754,13;12;16,11.1,0.928,13;12;16,3.2,58.23,21.33,15,21,53.71,16.77,12,20,51.31,20.24,14,20,1097,123.5,4.94
O00411,"DNA-directed RNA polymerase, mitochondrial precursor",1.77,1,1,1,3,,,,,,,,,,,,,,,,3.11,1.77,1,1,2.2,1.77,1,1,2.07,1.77,1,1,1245,140.1,9.06
O00418,Eukaryotic elongation factor 2 kinase,4.55,1,2,2,2,,,,,,,,,,,,,,,,,,,,1.8,4.55,2,2,,,,,725,82.1,5.33
O00429,Isoform 2 of Dynamin-1-like protein,48.31,11,33,33,257,0.549,39;48;49,0.2,0.68,39;48;49,9,0.365,39;48;48,8.4,0.665,39;48;49,9.5,0.791,39;48;49,0.8,247.44,42.68,28,82,248.08,44.65,29,90,224,34.51,20,85,710,79.4,6.93
O00442,Isoform 1 of RNA 3'-terminal phosphate cyclase,34.97,3,8,8,21,1.047,6;7;3,13.5,1.297,5;7;3,15.3,0.84,6;7;3,17.3,0.986,6;7;3,6,0.996,6;7;3,3.9,24.7,27.05,5,8,21.43,18.31,5,8,13.78,12.84,3,5,366,39.3,7.85
O00453,Isoform 6 of Leukocyte-specific transcript 1 protein,23.53,9,1,1,1,,,,,,,,,,,,,,,,1.96,23.53,1,1,,,,,,,,,51,5.9,9.45
O00459,Phosphatidylinositol 3-kinase regulatory subunit beta,4.12,7,1,3,12,0.841,-;1;-,,1.198,-;1;-,,0.965,-;1;-,,0.907,-;1;-,,1.055,-;1;-,,11.23,2.61,2,4,14.64,4.12,3,5,9.98,2.61,2,3,728,81.6,6.52
O00478,butyrophilin subfamily 3 member A3 isoform b,14.58,15,4,7,14,1.089,-;2;2,,1.51,-;2;2,11.7,1.175,-;2;2,12.4,0.997,-;2;2,,1.074,-;2;2,1.4,17.68,11.4,5,6,11.33,5.98,3,4,10.39,7.1,4,4,535,59.6,5.4
O00479,High mobility group nucleosome-binding domain-containing protein 4,84.44,1,12,17,225,1.64,52;48;45,5.6,2.005,52;48;45,1.2,2.246,52;48;45,13.1,1.664,52;48;45,13,1.019,52;48;45,3.5,154.46,83.33,16,77,185.85,83.33,15,79,159.54,76.67,15,69,90,9.5,10.48
O00481,Isoform 2 of Butyrophilin subfamily 3 member A1,11.36,12,1,4,8,1.008,-;-;1,,1.393,-;-;1,,1.072,-;-;1,,1.018,-;-;1,,1.063,-;-;1,,8.48,7.95,2,3,5.83,3.69,1,2,7.6,7.1,3,3,352,39.4,8.78
O00483,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4,55.56,2,5,5,91,0.894,21;21;20,1.6,1.628,21;21;20,2.5,1.064,21;21;20,4.3,0.768,21;21;20,2.7,0.898,21;21;20,3.8,71.96,55.56,5,31,76.23,55.56,5,32,65.98,55.56,5,28,81,9.4,9.38
O00487,26S proteasome non-ATPase regulatory subunit 14,45.16,3,10,10,49,1.113,13;11;10,5.2,1.435,13;11;10,12.6,1.07,13;11;10,5,1.113,13;11;10,1.6,1.058,13;11;10,4.2,58.99,43.23,8,19,52.33,29.35,6,17,43.7,31.29,7,13,310,34.6,6.52
O00499,Isoform BIN1-10-13 of Myc box-dependent-interacting protein 1,60.64,14,16,19,109,1.314,21;22;17,4,1.343,21;22;17,13.6,1.071,21;22;17,4.7,1.189,21;22;17,4.7,1.173,21;22;17,2.7,94.1,54.52,17,39,87.79,60.64,19,40,67.36,48.66,15,30,409,45.5,5.49
O00505,Importin subunit alpha-3,11.52,2,2,6,14,1.11,3;3;2,14.6,0.512,3;3;2,2.8,0.843,3;3;2,16.5,0.944,3;3;2,12.3,1.298,3;3;2,11.4,14.32,10.17,4,5,10.9,8.64,4,5,7.27,6.53,3,4,521,57.8,4.94
O00506,Serine/threonine-protein kinase 25,23.24,13,1,7,26,0.805,1;-;-,,0.673,1;-;-,,0.76,1;-;-,,0.607,1;-;-,,1.21,1;-;-,,29.79,23.24,7,10,24.46,15.96,6,10,13.3,14.32,5,6,426,48.1,6.74
O00519,Fatty-acid amide hydrolase 1,2.42,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,2.11,2.42,1,1,579,63,7.66
O00522,Isoform 2 of Krev interaction trapped protein 1,1.32,4,1,1,2,0.845,-;1;1,,0.904,-;1;1,13.5,0.806,-;1;1,54.5,0.918,-;1;1,,1.027,-;1;1,11.1,,,,,0,1.32,1,1,2.19,1.32,1,1,529,60.9,7.9
O00534,Isoform 1 of von Willebrand factor A domain-containing protein 5A,8.02,5,5,5,7,0.601,1;2;-,6.6,0.374,1;2;-,63.8,0.359,1;2;-,,0.776,1;2;-,21.1,0.82,1;2;-,12,7.72,4.71,3,3,7.45,4.33,3,3,0,1.02,1,1,786,86.4,6.58
O00560,Isoform 1 of Syntenin-1,37.58,5,10,10,21,1.278,5;6;4,9.8,1.596,5;6;4,19.2,1.427,5;6;4,27.2,1.184,5;6;4,19.1,1.07,5;6;4,4.6,14.1,31.54,7,7,17.2,26.17,9,9,11.54,18.12,5,5,298,32.4,7.53
O00567,Nucleolar protein 56,39.56,7,21,21,157,1.333,39;32;32,1.5,0.978,39;32;32,13.8,1.769,39;32;32,3.3,1.224,39;32;32,1.2,1.093,39;32;32,1.6,147.21,37.37,20,55,137.19,37.37,18,54,123.8,34.18,16,48,594,66,9.19
O00571,ATP-dependent RNA helicase DDX3X,34.89,10,4,21,141,1.198,4;2;2,5.8,1.376,4;2;2,42.2,1.117,4;2;2,5.4,1.158,4;2;2,12.5,1.037,4;2;2,10,158.98,32.93,20,50,131.17,32.63,19,44,141,30.51,18,47,662,73.2,7.18
O00602,Ficolin-1,32.82,6,13,13,106,1.247,23;28;28,3.3,1.364,23;28;28,17.5,1.571,23;28;28,4.9,0.958,23;28;28,3.3,1.233,23;28;28,2.4,96.86,30.67,12,37,85.91,30.06,12,34,90.13,27.91,11,35,326,35.1,6.86
O00629,Importin subunit alpha-4,24.18,2,6,10,27,0.585,5;5;3,7.5,0.967,5;5;3,11.8,0.484,5;5;3,4.4,0.418,5;5;3,5.8,0.952,5;5;3,5.2,35.13,22.84,8,11,31.36,19.77,7,9,22.6,20.35,7,7,521,57.9,4.96
O00743,Isoform 1 of Serine/threonine-protein phosphatase 6 catalytic subunit,37.7,4,10,10,60,0.894,16;17;12,5,0.873,16;17;12,6.4,0.696,16;17;12,10.3,0.99,16;17;12,3.3,0.94,16;17;12,3.5,47.05,30.16,7,20,44.65,35.74,9,23,37.34,28.85,7,17,305,35.1,5.69
O00754,Lysosomal alpha-mannosidase,10.19,2,9,9,21,1.233,1;3;2,23.2,0.883,1;3;2,22.3,1.625,1;3;2,36.2,1.108,1;3;2,19.8,1.143,1;3;2,8.2,14.34,5.64,4,5,16.32,8.7,7,8,17.65,7.32,6,8,1011,113.7,7.28
O00757,"Fructose-1,6-bisphosphatase isozyme 2",8.85,1,1,3,8,,,,,,,,,,,,,,,,3.48,5.9,2,2,6.58,6.19,2,2,11.73,6.19,2,4,339,36.7,7.23
O00764,Isoform 2 of Pyridoxal kinase,32.39,4,6,7,45,1.227,7;7;5,6,1.41,7;7;5,3.7,1.314,7;7;5,8.2,1.093,7;7;5,8.5,1.214,7;7;5,0.7,49.15,26.76,5,15,41.63,25,5,14,48.94,30.28,6,16,284,31.8,5.95
O14497,Isoform 3 of AT-rich interactive domain-containing protein 1A,3.89,11,5,6,13,1.216,3;-;2,18.1,1.205,3;-;2,,1.708,3;-;2,13.4,1.32,3;-;2,6.9,1.055,3;-;2,,13.76,3.1,4,5,9.77,1.52,3,5,9.31,1.63,3,3,1902,205.8,6.73
